Telescope,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined
Band,HPSO 01c,HPSO 01s,HPSO 02A,HPSO 02B,HPSO 13c,HPSO 13s,HPSO 14c,HPSO 14s,HPSO 15c,HPSO 15s,HPSO 22,HPSO 27,HPSO 33,HPSO 37a,HPSO 37b,HPSO 37c,HPSO 38a,HPSO 38b,HPSO max_Band5_MID_continuum,HPSO max_Band5_MID_spectral,HPSO max_LOW_continuum,HPSO max_LOW_spectral,HPSO max_MID_continuum,HPSO max_MID_spectral
Mode,Continuum,Spectral,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral
BL-dependent averaging,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
W kernel support bw0 [uv-pixels],2.8940361435260016,3.781283017628199,2.8940227223056842,2.8940227223056842,5.276521273988897,9.808054099821181,4.541751131907751,4.650125787428884,4.544232739932653,2.2511210109204085,2.4814739429538775,3.9798181247642512,3.9798181247642512,3.822579608414003,3.822579608414003,3.979818004030364,2.1694259588396094,2.1694259588396094,2.0401565240741046,3.273550960235982,2.6890612297366845,3.0657377868178184,1.0088814254501626,7.641736639977899
W kernel support bw1 [uv-pixels],3.8251642817104434,4.998648516413857,3.82514653293437,3.82514653293437,7.161239171160874,13.32013719113619,6.163256322956223,6.310440628026917,6.1666265599835715,3.053471443974168,3.3660954744625142,5.400165097374032,5.400165097374032,5.186661655058363,5.186661655058363,5.4001649334338735,2.9426050706702886,2.9426050706702886,2.7671835110961314,4.4412537278672275,3.554105467667103,4.052235485270022,1.368045664946763,10.375028814564068
W kernel support bw2 [uv-pixels],5.098174619691352,6.66347034613948,5.098150948620114,5.098150948620114,8.895560458829204,16.555143590561997,7.65509171830683,7.838024946289747,7.659280484211894,3.7911664413807906,4.17949347276229,6.706733302305898,6.706733302305898,6.441417932409162,6.441417932409162,6.706733098577564,3.653459916842782,3.653459916842782,3.4355768911652054,5.515202118354965,4.736684649950919,5.401023107150902,1.6981122631725853,12.89157195550592
W kernel support bw3 [uv-pixels],6.751224033063334,8.82604272166955,6.751192662660839,6.751192662660839,12.079428919434516,22.501123795863762,10.393180607605608,10.64182327353002,10.398873855245238,4.618677670722386,5.671305008813465,9.104345890641822,9.104345890641822,8.743831158299436,8.743831158299436,9.104345613803442,4.9570369044166664,4.9570369044166664,4.661220629769202,7.485464300862913,6.272176332870128,7.152593017887769,2.3030635061354023,17.514508679878663
W kernel support bw4 [uv-pixels],8.996456800740267,11.764537628617347,8.996414958112966,8.996414958112966,17.770631539792138,33.1500816056336,15.28576090553833,15.652093493909303,15.294148661394214,7.558166054419234,8.333851706478939,13.387281826864902,13.387281826864902,12.856359266902524,12.856359266902524,13.387281419149797,7.28315238941431,7.28315238941431,6.8480795514280635,11.003626772241631,8.357526410786253,9.53183725494233,3.3815953680797937,25.78682941852399
W kernel support bw5 [uv-pixels],11.951326857681357,15.633694674784332,11.951271209698682,11.951271209698682,22.925861459200185,42.816180776498044,19.71582773190954,20.188995800134172,19.726661369039373,9.74097708592133,10.741642189753408,17.26409839192321,17.26409839192321,16.578582754866463,16.578582754866463,17.264097865468635,9.386234139740102,9.386234139740102,8.82506815910727,14.186828935368533,11.101646546536513,12.66338664472555,4.355779462992514,33.28868578953575
W kernel support bw6 [uv-pixels],20.11178465076857,20.812153494019594,20.11178465076857,20.11178465076857,32.30112281701333,47.400121221784694,27.768567817996598,28.43651609659074,27.783860490571367,13.702074152593909,15.111847991530965,24.308519873545286,24.308519873545286,23.3413623917428,23.3413623917428,24.30851913074919,13.20238030041254,13.20238030041254,12.41200610448874,19.967997339641833,18.803327559523158,16.852668835032457,6.121472208911633,46.94983668870626
W kernel support bw7 [uv-pixels],45.09913102949984,31.149221017241054,45.09913102949984,45.09913102949984,40.89004672438588,76.62397908490422,35.142113162882794,35.98899975782948,35.16150196277708,17.322296962786428,19.106829949375737,30.75611270580373,30.75611270580373,29.53042996924129,29.53042996924129,30.756111764404107,16.689853896676134,16.689853896676134,15.689600170036478,25.25641731632566,42.14781065759961,25.209278531044955,7.733045604238886,59.483660609973846
W kernel support bw8 [uv-pixels],,,,,46.98000159854847,88.12345050386881,40.36832024553472,41.34234274587293,40.3906192211121,19.88466053040664,21.93489726487502,35.324616077659584,35.324616077659584,33.91536060350829,33.91536060350829,35.324614995226355,19.158114919116176,19.158114919116176,18.009101012555917,29.002025949276206,,,8.872555515730934,68.38043191833343
W kernel support bw9 [uv-pixels],,,,,54.748504958042,102.81756835326482,47.03278770749986,48.1692784361159,47.05880548300694,23.14819819168831,25.537353745454343,41.14880500687499,41.14880500687499,39.50508215172202,39.50508215172202,41.14880374429631,22.301638338931273,22.301638338931273,20.962922463791646,33.77540676479803,,,11.974354786031817,79.7401876722863
