,Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],PSS (Low) [],PST (Low) [],SinglePulse (Low) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],PSS (Mid1) [],PST (Mid1) [],SinglePulse (Mid1) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],PSS (Mid2) [],PST (Mid2) [],SinglePulse (Mid2) [],Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],PSS (Mid5a) [],PST (Mid5a) [],SinglePulse (Mid5a) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],PSS (Mid5b) [],PST (Mid5b) [],SinglePulse (Mid5b) []
Max Baseline [per bin]10 [km],,,,,,,,,,,,,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
Max Baseline [per bin]11 [km],,,,,,,,,,,,,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Baseline fraction [per bin]0 [%],46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167
Baseline fraction [per bin]1 [%],13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508
Baseline fraction [per bin]2 [%],14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781
Baseline fraction [per bin]3 [%],18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951
Baseline fraction [per bin]4 [%],7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559
Baseline fraction [per bin]5 [%],,,,,,,,,,,,,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837
Baseline fraction [per bin]6 [%],,,,,,,,,,,,,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075
Baseline fraction [per bin]7 [%],,,,,,,,,,,,,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615
Baseline fraction [per bin]8 [%],,,,,,,,,,,,,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655
Baseline fraction [per bin]9 [%],,,,,,,,,,,,,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513
Baseline fraction [per bin]10 [%],,,,,,,,,,,,,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637
Baseline fraction [per bin]11 [%],,,,,,,,,,,,,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],(undefined),39.08035431440457,14.474205301631324,39.08035431440457,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,(undefined),(undefined),(undefined),(undefined),(undefined),2.440460697760725,6.779057493779791,2.440460697760725,2.711622997511917,2.711622997511917,2.711622997511917,2.0337172481339376,(undefined),(undefined),(undefined),(undefined),(undefined),1.2896443698627305,2.7862687003207136,1.2896443698627305,1.1145074801282855,1.1145074801282855,2.7862687003207136,1.1145074801282855,(undefined),(undefined),(undefined),(undefined),(undefined),0.37305385133426067,0.5757003878615135,0.37305385133426067,0.5757003878615135,0.5757003878615135,0.5757003878615135,0.5757003878615135,(undefined),(undefined),(undefined),(undefined),(undefined),0.20659673076546664,0.31882211537880656,0.20659673076546664,0.31882211537880656,0.31882211537880656,0.31882211537880656,0.31882211537880656,(undefined),(undefined),(undefined),(undefined)
Total FoV size [deg],14.474205301631324,39.08035431440457,14.474205301631324,39.08035431440457,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,(undefined),(undefined),(undefined),6.77905749377979,18.303455233205437,6.77905749377979,18.303455233205437,6.77905749377979,6.77905749377979,6.77905749377979,6.77905749377979,6.77905749377979,(undefined),(undefined),(undefined),2.7862687003207136,7.522925490865928,2.7862687003207136,7.522925490865928,2.7862687003207136,2.7862687003207136,2.7862687003207136,2.7862687003207136,2.7862687003207136,(undefined),(undefined),(undefined),0.5757003878615135,1.554391047226086,0.5757003878615135,1.554391047226086,0.5757003878615135,0.5757003878615135,0.5757003878615135,0.5757003878615135,0.5757003878615135,(undefined),(undefined),(undefined),0.31882211537880656,0.8608197115227776,0.31882211537880656,0.8608197115227776,0.31882211537880656,0.31882211537880656,0.31882211537880656,0.31882211537880656,0.31882211537880656,(undefined),(undefined),(undefined)
Output FoV size [deg],(undefined),(undefined),(undefined),(undefined),6.079166226685156,6.079166226685156,6.079166226685156,6.079166226685156,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),2.847204147387512,2.847204147387512,2.847204147387512,2.847204147387512,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),1.1702328541346998,1.1702328541346998,1.1702328541346998,1.1702328541346998,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.2417941629018356,0.2417941629018356,0.2417941629018356,0.2417941629018356,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.13390528845909874,0.13390528845909874,0.13390528845909874,0.13390528845909874,(undefined),(undefined),(undefined),(undefined)
PSF size [arcs],14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,(undefined),(undefined),(undefined),1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,(undefined),(undefined),(undefined),0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646,(undefined),(undefined),(undefined),0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,(undefined),(undefined),(undefined),0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,(undefined),(undefined),(undefined)
Pixel size [arcs],2.838451875895895,2.838451875895895,4.730753126493159,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,(undefined),(undefined),(undefined),0.20534133042224062,0.20534133042224062,0.34223555070373435,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,(undefined),(undefined),(undefined),0.09043724906939292,0.09043724906939292,0.1507287484489882,0.09043724906939292,0.09043724906939292,0.09043724906939292,0.09043724906939292,0.09043724906939292,0.09043724906939292,(undefined),(undefined),(undefined),0.01870237921751498,0.01870237921751498,0.031170632029191632,0.01870237921751498,0.01870237921751498,0.01870237921751498,0.01870237921751498,0.01870237921751498,0.01870237921751498,(undefined),(undefined),(undefined),0.010343200199549863,0.010343200199549863,0.01723866699924977,0.010343200199549863,0.010343200199549863,0.010343200199549863,0.010343200199549863,0.010343200199549863,0.010343200199549863,(undefined),(undefined),(undefined)
Facet side length [pixels],(undefined),49565.49615182431,11014.554700405399,49565.49615182431,18357.591167342336,18357.591167342336,18357.591167342336,18357.591167342336,(undefined),(undefined),(undefined),(undefined),(undefined),42785.63158168294,71309.38596947156,42785.63158168294,47539.59064631437,47539.59064631437,47539.59064631437,35654.69298473578,(undefined),(undefined),(undefined),(undefined),(undefined),51336.366146469685,66547.14130097922,51336.366146469685,44364.76086731948,44364.76086731948,110911.9021682987,44364.76086731948,(undefined),(undefined),(undefined),(undefined),(undefined),71808.71744626,66489.55319098149,71808.71744626,110815.92198496914,110815.92198496914,110815.92198496914,110815.92198496914,(undefined),(undefined),(undefined),(undefined),(undefined),71906.9742832637,66580.53174376268,71906.9742832637,110967.55290627113,110967.55290627113,110967.55290627113,110967.55290627113,(undefined),(undefined),(undefined),(undefined)
Image side length [pixels],18357.591167342336,49565.4961518243,11014.5547004054,49565.4961518243,18357.591167342336,18357.591167342336,18357.591167342336,18357.591167342336,18357.591167342336,(undefined),(undefined),(undefined),118848.97661578593,320892.236862622,71309.38596947156,320892.236862622,118848.97661578593,118848.97661578593,118848.97661578593,118848.97661578593,118848.97661578593,(undefined),(undefined),(undefined),110911.90216829868,299462.1358544065,66547.14130097922,299462.1358544065,110911.90216829868,110911.90216829868,110911.90216829868,110911.90216829868,110911.90216829868,(undefined),(undefined),(undefined),110815.92198496914,299202.98935941665,66489.55319098149,299202.98935941665,110815.92198496914,110815.92198496914,110815.92198496914,110815.92198496914,110815.92198496914,(undefined),(undefined),(undefined),110967.55290627113,299612.39284693205,66580.5317437627,299612.39284693205,110967.55290627113,110967.55290627113,110967.55290627113,110967.55290627113,110967.55290627113,(undefined),(undefined),(undefined)
Output image side length [pixels],(undefined),(undefined),(undefined),(undefined),7710.18829028378,7710.18829028378,7710.18829028378,7710.18829028378,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),49916.57017863009,49916.57017863009,49916.57017863009,49916.57017863009,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),46582.99891068545,46582.99891068545,46582.99891068545,46582.99891068545,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),46542.68723368704,46542.68723368704,46542.68723368704,46542.68723368704,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),46606.37222063388,46606.37222063388,46606.37222063388,46606.37222063388,(undefined),(undefined),(undefined),(undefined)
Grid side dimension [lambda],72668.06529245574,72668.06529245574,43600.83917547343,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,(undefined),(undefined),(undefined),1004497.2720443411,1004497.2720443411,602698.3632266046,1004497.2720443411,1004497.2720443411,1004497.2720443411,1004497.2720443411,1004497.2720443411,1004497.2720443411,(undefined),(undefined),(undefined),2280750.557647197,2280750.557647197,1368450.3345883181,2280750.557647197,2280750.557647197,2280750.557647197,2280750.557647197,2280750.557647197,2280750.557647197,(undefined),(undefined),(undefined),11028800.338618262,11028800.338618262,6617280.203170958,11028800.338618262,11028800.338618262,11028800.338618262,11028800.338618262,11028800.338618262,11028800.338618262,(undefined),(undefined),(undefined),19942068.437974643,19942068.437974643,11965241.062784787,19942068.437974643,19942068.437974643,19942068.437974643,19942068.437974643,19942068.437974643,19942068.437974643,(undefined),(undefined),(undefined)
Baselines dimension [lambda],43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,(undefined),(undefined),(undefined),602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,(undefined),(undefined),(undefined),1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,(undefined),(undefined),(undefined),6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,(undefined),(undefined),(undefined),11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,(undefined),(undefined),(undefined)
Epsilon (approx),0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,(undefined),(undefined),(undefined),0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,(undefined),(undefined),(undefined),0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,(undefined),(undefined),(undefined),0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,(undefined),(undefined),(undefined),0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,(undefined),(undefined),(undefined)
Qbw,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,(undefined),(undefined),(undefined),3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,(undefined),(undefined),(undefined),3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,(undefined),(undefined),(undefined),3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,(undefined),(undefined),(undefined),3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,(undefined),(undefined),(undefined)
Max subband ratio,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
Number subbands,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Station/antenna diameter,38,38,38,38,38,38,38,38,38,38,38,38,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
-- Time Coalescing --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time full0 [s],29.7,10.8,1.0,10.8,29.7,29.7,29.7,15.3,15.3,(undefined),(undefined),(undefined),5.74,2.1,1.0,2.1,5.74,5.74,5.74,3.22,3.22,(undefined),(undefined),(undefined),6.0200000000000005,2.24,1.0,2.24,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22,(undefined),(undefined),(undefined),6.0200000000000005,2.24,1.0,2.24,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22,(undefined),(undefined),(undefined),6.0200000000000005,2.24,1.0,2.24,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22,(undefined),(undefined),(undefined)
Coalesce time full1 [s],14.4,5.4,1.0,5.4,14.4,14.4,14.4,7.2,7.2,,,,3.7800000000000002,1.4000000000000001,1.0,1.4000000000000001,3.7800000000000002,3.7800000000000002,3.7800000000000002,2.1,2.1,,,,3.9200000000000004,1.4000000000000001,1.0,1.4000000000000001,3.9200000000000004,3.9200000000000004,3.9200000000000004,2.1,2.1,,,,3.9200000000000004,1.4000000000000001,1.0,1.4000000000000001,3.9200000000000004,3.9200000000000004,3.9200000000000004,2.1,2.1,,,,3.9200000000000004,1.4000000000000001,1.0,1.4000000000000001,3.9200000000000004,3.9200000000000004,3.9200000000000004,2.1,2.1,,,
