Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.74,10.0,10.0,10.0,10.0,10.0,10.0,3.22,5.040000000000001
Coalesce time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,8.1,8.1,9.0,3.7800000000000002,10.0,10.0,10.0,10.0,9.450000000000001,10.0,2.1,3.3600000000000003
Coalesce time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,5.4,5.4,5.4,2.8000000000000003,8.166666666666668,8.166666666666668,9.333333333333334,9.333333333333334,7.000000000000001,10.0,1.54,2.5200000000000005
Coalesce time pred3 [s],7.2,10.0,10.0,7.2,10.0,10.0,3.6,3.6,3.6,1.8200000000000003,5.833333333333334,5.833333333333334,6.066666666666667,6.066666666666667,4.550000000000001,6.533333333333334,0.9800000000000001,1.6800000000000002
Coalesce time pred4 [s],4.5,7.5,7.5,4.5,7.5,7.5,1.8,1.8,2.7,1.12,3.5,3.5,3.733333333333334,3.733333333333334,2.8000000000000003,3.733333333333334,0.56,0.9800000000000001
Coalesce time pred5 [s],2.7,3.75,3.75,2.7,4.5,4.5,1.8,1.8,1.8,0.7000000000000001,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,1.7500000000000002,2.8000000000000003,0.42000000000000004,0.7000000000000001
Coalesce time pred6 [s],1.8,3.75,3.75,1.8,3.0,3.0,0.9,0.9,0.9,0.42000000000000004,1.1666666666666667,1.1666666666666667,1.4000000000000001,1.4000000000000001,1.05,1.866666666666667,0.28,0.42000000000000004
Coalesce time pred7 [s],0.9,3.75,3.75,0.9,1.5,1.5,0.9,0.9,0.9,0.28,1.1666666666666667,1.1666666666666667,0.9333333333333335,0.9333333333333335,0.7000000000000001,0.9333333333333335,0.14,0.28
Coalesce time pred8 [s],,,,,,,,,,0.28,1.1666666666666667,1.1666666666666667,0.9333333333333335,0.9333333333333335,0.7000000000000001,0.9333333333333335,0.14,0.28
Coalesce time pred9 [s],,,,,,,,,,0.14,1.1666666666666667,1.1666666666666667,0.46666666666666673,0.46666666666666673,0.35000000000000003,0.9333333333333335,0.14,0.14
Coalesce time pred10 [s],,,,,,,,,,0.14,1.1666666666666667,1.1666666666666667,0.46666666666666673,0.46666666666666673,0.35000000000000003,0.9333333333333335,0.14,0.14
Coalesce time pred11 [s],,,,,,,,,,0.14,1.1666666666666667,1.1666666666666667,0.46666666666666673,0.46666666666666673,0.35000000000000003,0.9333333333333335,0.14,0.14
Coalesce time bw0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.74,10.0,10.0,10.0,10.0,10.0,10.0,3.22,5.040000000000001
Coalesce time bw1 [s],10.0,10.0,10.0,10.0,10.0,10.0,8.1,8.1,9.0,3.7800000000000002,10.0,10.0,10.0,10.0,9.450000000000001,10.0,2.1,3.3600000000000003
Coalesce time bw2 [s],10.0,10.0,10.0,10.0,10.0,10.0,5.4,5.4,5.4,2.8000000000000003,8.166666666666668,8.166666666666668,9.333333333333334,9.333333333333334,7.000000000000001,10.0,1.54,2.5200000000000005
Coalesce time bw3 [s],7.2,10.0,10.0,7.2,10.0,10.0,3.6,3.6,3.6,1.8200000000000003,5.833333333333334,5.833333333333334,6.066666666666667,6.066666666666667,4.550000000000001,6.533333333333334,0.9800000000000001,1.6800000000000002
Coalesce time bw4 [s],4.5,7.5,7.5,4.5,7.5,7.5,1.8,1.8,2.7,1.12,3.5,3.5,3.733333333333334,3.733333333333334,2.8000000000000003,3.733333333333334,0.56,0.9800000000000001
Coalesce time bw5 [s],2.7,3.75,3.75,2.7,4.5,4.5,1.8,1.8,1.8,0.7000000000000001,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,1.7500000000000002,2.8000000000000003,0.42000000000000004,0.7000000000000001
Coalesce time bw6 [s],1.8,3.75,3.75,1.8,3.0,3.0,0.9,0.9,0.9,0.42000000000000004,1.1666666666666667,1.1666666666666667,1.4000000000000001,1.4000000000000001,1.05,1.866666666666667,0.28,0.42000000000000004
Coalesce time bw7 [s],0.9,3.75,3.75,0.9,1.5,1.5,0.9,0.9,0.9,0.28,1.1666666666666667,1.1666666666666667,0.9333333333333335,0.9333333333333335,0.7000000000000001,0.9333333333333335,0.14,0.28
Coalesce time bw8 [s],,,,,,,,,,0.28,1.1666666666666667,1.1666666666666667,0.9333333333333335,0.9333333333333335,0.7000000000000001,0.9333333333333335,0.14,0.28
Coalesce time bw9 [s],,,,,,,,,,0.14,1.1666666666666667,1.1666666666666667,0.46666666666666673,0.46666666666666673,0.35000000000000003,0.9333333333333335,0.14,0.14
