Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
"W kernel support bw, ff11 [pixels]",,,,,,,,,,34230.81311381316,181.43079994836228,181.43079362934205,124.89732728213883,138.58393662396801,138.30544528667068,174.77626595663824,34230.81311381316,341.8702872274318
-- I/O --,,,,,,,,,,,,,,,,,,
Visibility Buffer [PetaBytes],19.752554594303994,14.908046901234266,14.908046901234266,2.7608417429632683,2.7608417429632683,5.521683485926537,19.752554594303994,19.752554594303994,0.00022358290542975298,18.739982499839996,18.739982499839996,18.739982499839996,9.369991249919998,9.369991249919998,18.739982499839996,18.739982499839996,18.739982499839996,0.00043379589119999987
Working (cache) memory [TeraBytes],4558151.136283619,0.10232875447869133,0.10232873848350026,0.4159169662780968,0.027222060443655473,0.025552093840497867,7.06256433490084,4558151.136283619,0.4451764418995882,56725523.31476679,1.9655698426438801,1.9655695878895343,0.37226037156142644,0.6112034807011677,0.8075862691074184,5.715889084610956,56725523.31476679,36.046599447351156
Visibility I/O Rate [TeraBytes/s],0.9144701201066665,6.901873565386233,1.3803747130772468,1.533800968312927,1.533800968312927,3.067601936625854,10.973641441279998,10.973641441279998,2.682994865157036,0.8675917823999998,8.675917823999997,1.7351835647999996,5.205550694399998,5.205550694399998,10.411101388799995,10.411101388799995,10.411101388799995,5.205550694399998
Inter-Facet I/O Rate [TeraBytes/s],0.0,0.006316925762030776,0.0007018806402256417,0.0007354716356578702,0.0010590791553473332,0.0010590791553473332,0.48199869114474175,0.48199869114474175,4.632412225489237,0.0,0.14827943185732384,0.01647549242859154,0.024860139467010555,0.024860139467010555,0.024860139467010555,16.292341001100034,11.314125695208356,108.73825002870414
-- Compute --,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOPS],0.011311889922275555,10.44640056292272,1.7285606196025527,4.235067287622201,4.062860503480413,4.313086801228243,19.986168086436564,0.40502453163349333,6.803929526483919,0.010799599077485711,16.094491433753795,2.5581141328979493,14.685095513604029,13.532749803986096,13.867648637491573,36.33050283974576,0.015246118092799998,14.604718823999923
-> Phase Rotation Predict [PetaFLOPS],,0.16176266168873987,0.01797362907652665,0.0,0.0058582675873063185,0.011716535174612637,0.0,,0.0,,0.8133672959999999,0.09037414399999999,0.3976462335999999,0.07952924671999999,0.08947040255999998,0.6362339737599999,,0.0
-> Degridding Kernel Update [PetaFLOPS],,0.13730791012055027,0.015256434131403807,0.08490110366812355,0.0737409961204201,0.1445345418933196,0.6427941062135866,,0.03675415008913682,,0.022162229910189162,0.0024624698938262215,0.009994604535655049,0.01065576016412625,0.02128233458442715,0.04735858853639926,,0.005745261837696381
-> Receive [PetaFLOPS],7.6731660515555561e-05,,,,,,,,,7.3599920457142836e-05,,,,,,,,
-> DFT [PetaFLOPS],,8.376339319204284,0.930704368800476,3.791885332320612,3.791885332320612,3.791885332320612,13.5645989548123,,6.63293940091245,,10.685999615648912,1.187333290627657,13.060666196904227,13.060666196904227,13.060666196904227,13.060666196904227,,13.060666196904227
-> Average [PetaFLOPS],0.00030601641984,,,,,,,,,0.00029214825325714274,,,,,,,,
-> Phase Rotation [PetaFLOPS],,0.16176266168873987,0.01797362907652665,0.0,0.005858267587306319,0.011716535174612639,0.0,,0.0,,0.8133672959999999,0.09037414399999999,0.07952924671999999,0.07952924671999999,0.08947040255999998,0.6362339737599999,,0.0
-> Subtract Image Component [PetaFLOPS],,2.7975681666666666e-06,,1.709624990740741e-07,1.709624990740741e-07,3.419249981481482e-07,0,,,,2.7975681666666666e-06,,1.709624990740741e-07,1.709624990740741e-07,3.419249981481482e-07,0,,
-> Solve [PetaFLOPS],,0.5592033118323948,0.6282238701173176,,,,,,,,0.19400218366604205,0.7897013202613572,,,,,,
-> Subtract Visibility [PetaFLOPS],,0.0020705620696158705,0.00023006245217954116,0.0004686614069845055,0.0004686614069845055,0.000937322813969011,0.003353057107057777,,0.0008198039865757609,,0.0026027753471999995,0.0002891972607999999,0.0015905849343999998,0.0015905849343999998,0.0031811698687999996,0.0031811698687999996,,0.0015905849343999998
-> Correct [PetaFLOPS],,0.24846744835390447,0.027607494261544942,0.05623936883814066,0.05623936883814066,0.11247873767628132,0.4023668528469333,0.4023668528469333,0.024594119597272823,,0.010411101388799998,0.0011567890431999996,0.006362339737599999,0.006362339737599999,0.012724679475199998,0.012724679475199998,0.012724679475199998,0.0015905849343999998
-> IFFT [PetaFLOPS],,0.12691921189842295,0.0141021356289667,0.019103532996108483,0.01748816798812249,0.008719241766059793,0.013166254353017848,,0.026430469677566956,,0.8366053179032947,0.0929561517423432,0.12022022818348564,0.09658031750129242,0.07084693352383592,0.029648874837868343,,0.7235534346350374
-> Source Find [PetaFLOPS],,2.5e-12,,,,,,,,,2.5e-12,,,,,,,
-> Gridding Kernel Update [PetaFLOPS],,0.13730791012055027,0.015256434131403807,0.08490110366812355,0.0737409961204201,0.1445345418933196,0.6427941062135866,,0.03675415008913682,,0.022162229910189162,0.0024624698938262215,0.009994604535655049,0.01065576016412625,0.02128233458442715,0.04735858853639926,,0.005745261837696381
-> FFT [PetaFLOPS],,0.025383842379684586,0.002820427125793341,0.019103532996108483,0.003497633597624497,0.008719241766059793,1.7257272905587555,,0.026430469677566956,,0.16732106358065893,0.01859123034846864,0.12022022818348564,0.01931606350025849,0.07084693352383592,3.8861373227490805,,0.7235534346350374
-> Reprojection [PetaFLOPS],,0.0181880110809391,0.002020890259623016,0.01310049920643951,0.00012631096622106014,0.006297605632185339,1.1834402047569605,,,,0.10984236104810163,0.012204707480122477,0.07950124556214438,0.0006386824957960662,0.04559931430185521,2.751870245081363,,
-> Flag [PetaFLOPS],0.01067232264192,0.0020058570049403743,0.0020058570049403743,0.0007429348440265741,0.0007429348440265741,0.0007429348440265741,0.0026576787865599995,0.0026576787865599995,0.0012995756378104393,0.010188670332342853,0.0025214386175999993,0.0025214386175999993,0.0025214386175999993,0.0025214386175999993,0.0025214386175999993,0.0025214386175999993,0.0025214386175999993,0.0025214386175999993
-> Degrid [PetaFLOPS],,0.19926421915626205,0.022140468118867575,0.07575966086126747,0.016540820842202802,0.03207662816544234,0.817787038127498,,0.008953693408200413,,0.9299846370965289,0.10333162116406745,0.3586528559996774,0.0819687797869429,0.16293506380242012,4.882396004097637,,0.03987631283191051
-> Grid [PetaFLOPS],,0.19926421915626205,0.022140468118867575,0.07575966086126747,0.016540820842202802,0.03207662816544234,0.817787038127498,,0.008953693408200413,,0.9299846370965289,0.10333162116406745,0.3586528559996774,0.0819687797869429,0.16293506380242012,4.882396004097637,,0.03987631283191051
-> Image Spectral Fitting [PetaFLOPS],,,,,3.6773581782893505e-06,,,,,,,,,8.631992870489775e-05,,,,
-> Identify Component [PetaFLOPS],,0.0002105641920676926,,1.2257860594297836e-06,1.7651319255788887e-06,0.00035302638511577775,0.1606662303815806,,,,0.004942647728577463,,4.143356577835093e-05,4.143356577835093e-05,0.008286713155670186,5.430780333700013,,
-> Demix [PetaFLOPS],0.0002568192,,,,,,,,,0.00024518057142857141,,,,,,,,
-> Reprojection Predict [PetaFLOPS],,0.09094005540469549,0.01010445129811508,0.01310049920643951,0.00012631096622106014,0.006297605632185339,0.009028932226234137,,,,0.5492118052405082,0.061023537400612386,0.07950124556214438,0.0006386824957960662,0.04559931430185521,0.020995103798533355,,
