Frequency Max [GHz],0.35,0.35,1.05,1.05,13.5,13.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.95,0.95,0.95,0.95,1.5,1.5,1.5,1.4,1.56,1.56,1.56,1.425,12.0,12.0,12.0,1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,11.0,11.0,11.0,11.0,11.0,11.0
Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,41000,41000,65536,65536,65536,65536,100,5000,65536,65536,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Frequencies predict de-grid9,,,16574.07625990824,65536.0,22765.118170239723,65536.0,,,,,,,,,,,,,3590.4824877320066,2659.640564561646,3546.156681867803,3231.2376565236927,4724.3539247936915,3280.835427379942,100.0,5000.0,4727.590515759269,3501.9425344910237,5252.868221995312,2500.0,5673.090386989883,3501.9425344910237,8754.719596739762,7867.858831629016,7867.858831629016,19669.342983940514,11473.752118070064,10623.864206351685,10623.864206351685,10756.659192559386,10623.864206351685,10623.864206351685,11473.752118070064,10623.864206351685,10623.864206351685,11978.676341888648,22182.5414561377,22182.5414561377,14374.366412224357,22182.5414561377,22182.5414561377
Frequencies predict de-grid10,,,19587.444798963337,65536.0,26904.188508167405,65536.0,,,,,,,,,,,,,4243.280719478493,3143.194810376081,4190.895676192912,3818.7186462585823,5583.307080168375,3877.3306742756704,100.0,5000.0,5587.135853222271,4138.64278451926,6207.918596931814,2500.0,6704.544791911086,4138.64278451926,10346.470221536132,9298.341759325318,9298.341759325318,23245.550302517167,13559.840628546834,12555.427642058461,12555.427642058461,12712.367171199045,12555.427642058461,12555.427642058461,13559.840628546834,12555.427642058461,12555.427642058461,14156.576405879654,26215.689722525978,26215.689722525978,16987.846488913263,26215.689722525978,26215.689722525978
Frequencies predict de-grid11,,,22600.813337856664,65536.0,31043.258846574812,65536.0,,,,,,,,,,,,,4896.078951200545,3626.749056159887,4835.634670488859,4406.199635968495,6442.260235513635,4473.825921121464,100.0,5000.0,6446.6811906974535,4775.343034508504,7162.968971877786,2500.0,7735.999196790231,4775.343034508504,11938.220846287122,10728.824686948226,10728.824686948226,26821.757621142282,15645.929138975218,14486.991077609053,14486.991077609053,14668.075149698398,14486.991077609053,14486.991077609053,15645.929138975218,14486.991077609053,14486.991077609053,16334.476469786141,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
Frequencies backward kernels0,295.756853261672,595.7190172046925,248.94801744664173,456.3235122831209,104.89904096419374,199.98296761981052,211.43026268403523,209.21671021564603,209.3881301088456,410.9675938300071,210.37842003605658,209.21671021564603,209.3881301088456,410.9675938300071,210.37842003605658,209.21671021564603,209.3881301088456,410.9675938300071,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,121.27898129447637,120.64772964050992,120.36884739527075,121.46273871729866,120.64772964050992,120.36884739527075,121.27898129447637,120.64772964050992,120.36884739527075,102.56076731401652,102.77862007400725,102.52887405811762,102.85570064886872,102.77862007400725,102.52887405811762
Frequencies backward kernels1,297.9004933619393,615.4087185445895,249.83501737900647,460.503114152525,105.32873517866494,207.97495762395224,213.49083478595315,209.64808822555239,209.9466423156083,415.46391239591,211.6682267288536,209.64808822555239,209.9466423156083,415.46391239591,211.6682267288536,209.64808822555239,209.9466423156083,415.46391239591,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,122.56501834771917,121.41339715095411,120.90316062690304,122.89939714922546,121.41339715095411,120.90316062690304,122.56501834771917,121.41339715095411,120.90316062690304,103.04206256367178,103.44057745484473,102.9836671025199,103.58142642626075,103.44057745484473,102.9836671025199
Frequencies backward kernels2,301.7500693242023,649.6369527491267,250.88238929531423,465.4107481282823,105.83585113887776,217.07908651844065,217.17924419792027,210.42794139170107,210.95556638191658,423.50000766459436,213.98784188076968,210.42794139170107,210.95556638191658,423.50000766459436,213.98784188076968,210.42794139170107,210.95556638191658,423.50000766459436,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,124.07284605637415,122.3149856804122,121.53353052674038,124.58173834223871,122.3149856804122,121.53353052674038,124.07284605637415,122.3149856804122,121.53353052674038,103.60973922083757,104.21997116020012,103.52022271627636,104.43537122245222,104.21997116020012,103.52022271627636
Frequencies backward kernels3,308.26777067321467,704.7674406082845,253.3696385535605,476.9480768691372,107.03895492348627,237.47167460261824,223.3903712481102,211.76362671880742,212.68125765303972,436.99856045143827,217.9248389759847,211.76362671880742,212.68125765303972,436.99856045143827,217.9248389759847,211.76362671880742,212.68125765303972,436.99856045143827,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.07705745652632,127.60849175557937,124.44521676738368,123.02811258731265,128.51815446922393,124.44521676738368,123.02811258731265,127.60849175557937,124.44521676738368,123.02811258731265,104.95505533827856,106.06117178175332,104.7923822696167,106.45044756963964,106.06117178175332,104.7923822696167
Frequencies backward kernels4,319.6807455763873,794.6622719998037,259.5621831627657,505.0102748889939,110.02734702876178,282.71780831712096,234.17260272296033,214.14858566532982,215.75530073125236,460.33955683119007,224.84666559172294,214.14858566532982,215.75530073125236,460.33955683119007,224.84666559172294,214.14858566532982,215.75530073125236,460.33955683119007,100.0,100.0,100.0,118.31431288510011,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,109.18280949293317,136.15979082764576,129.68588903677778,126.73497791172286,137.99480447680605,129.68588903677778,126.73497791172286,136.15979082764576,129.68588903677778,126.73497791172286,108.28804916618817,110.58900542663345,107.94763878701254,111.39325711996183,110.58900542663345,107.94763878701254
Frequencies backward kernels5,338.704389460526,931.3832822625458,266.97727707033823,537.5259328661964,113.59332916021462,330.0604524743741,251.91455260125056,218.2507730881769,221.0215099508804,498.5301187438013,236.45607780094278,218.2507730881769,221.0215099508804,498.5301187438013,236.45607780094278,218.2507730881769,221.0215099508804,498.5301187438013,100.0,100.0,100.0,139.5317389044647,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,119.44051476287467,145.9947937040028,135.85357932694163,131.14862604567546,148.8293789416794,135.85357932694163,131.14862604567546,145.9947937040028,135.85357932694163,131.14862604567546,112.25018919304769,115.91482017938463,111.70458014440062,117.1865608891343,115.91482017938463,111.70458014440062
Frequencies backward kernels6,370.0697251012284,1134.573774274102,284.35349652072796,610.0775532285472,121.90289916887038,424.696666584257,280.66484827487506,225.34142367503046,230.0650702961221,559.9692619087949,255.7648457855091,225.34142367503046,230.0650702961221,559.9692619087949,255.7648457855091,225.34142367503046,230.0650702961221,559.9692619087949,100.0,100.0,100.0,150.1351331161792,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,105.61969193231651,105.6196918107489,135.8941276203787,167.7227960125392,149.922941362798,141.3976676977648,172.58257833420518,149.922941362798,141.3976676977648,167.7227960125392,149.922941362798,141.3976676977648,121.42759903363684,128.0538326632985,120.42894781053364,130.32274632397844,128.0538326632985,120.42894781053364
Frequencies backward kernels7,583.674984463602,1574.942681919154,303.99981557821314,687.578927610024,131.23154784562297,516.5977640492841,349.51967342887525,244.28413635614015,274.18655054747023,705.6441342310218,303.8580651667412,244.28413635614015,274.18655054747023,705.6441342310218,303.8580651667412,244.28413635614015,274.18655054747023,705.6441342310218,109.58056535964776,100.0,100.0,221.96598418096931,109.80276458359549,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,116.19446367126164,116.19446346752521,164.30209423370056,190.6970721374804,165.32065090488948,152.85399447381116,197.5066538647703,165.32065090488948,152.85399447381116,190.6970721374804,165.32065090488948,152.85399447381116,131.65442023121258,141.32655364592026,130.18138869441538,144.6018404949611,141.32655364592026,130.18138869441538
