Frequency Max [GHz],0.35,0.35,1.05,1.05,13.5,13.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.95,0.95,0.95,0.95,1.5,1.5,1.5,1.4,1.56,1.56,1.56,1.425,12.0,12.0,12.0,1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,11.0,11.0,11.0,11.0,11.0,11.0
Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,41000,41000,65536,65536,65536,65536,100,5000,65536,65536,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
W kernel support bw5 [uv-pixels],5.820694641325206,12.998394093053996,4.004125054659228,6.474778518980072,4.2971073978837095,14.211342097538523,6.779087850375401,3.0758209486399672,3.5023584231995586,7.191714775114661,5.342888319717677,3.0758209486399672,3.5023584231995586,7.191714775114661,5.342888319717677,3.0758209486399672,3.5023584231995586,7.191714775114661,13.706901988201539,6.906915681712589,6.988104372962956,15.478399222302459,10.911533631499317,5.817224603279544,5.6818801839887705,15.529738697519836,12.210254077519506,6.4164937248419465,7.085275722398895,16.57796938157768,6.680193956472137,3.070572644280873,5.228755588001394,4.415629082324747,4.415629061981691,8.403601786154603,6.986232966060914,5.368175132937866,4.475761285198276,7.3927429286221225,5.368175132937866,4.475761285198276,6.986232966060914,5.368175132937866,4.475761285198276,4.603848106939407,5.408732391162602,4.474119055629458,5.666720887482641,5.408732391162602,4.474119055629458
W kernel support bw6 [uv-pixels],7.739650501023795,17.299138792626046,5.626871803783395,9.102981917277907,6.038946226662363,20.002562710276134,9.015234669909074,4.088030888061869,4.655291532924289,9.564511547908966,7.103817556518365,4.088030888061869,4.655291532924289,9.564511547908966,7.103817556518365,4.088030888061869,4.655291532924289,9.564511547908966,15.162157814958146,7.638145747449275,7.727958466816293,17.122789752637754,15.35123021023967,8.177577748765602,7.98712353306073,21.86185665076368,17.181473472295014,9.020948185555428,9.962314565603437,23.340497073970564,9.39210738070023,4.314122575137187,7.3495505669783,5.7757878823792215,5.77578785575204,10.998048741254305,9.822892680830014,7.545712832964463,6.290239147725494,10.395158125164354,7.545712832964463,6.290239147725494,9.822892680830014,7.545712832964463,6.290239147725494,6.470413806515421,7.602778145512369,6.287929136515238,7.96579211811342,7.602778145512369,6.287929136515238
W kernel support bw7 [uv-pixels],17.278147215545847,25.878798216295426,7.107820343078442,11.50317053720723,7.6287202229135795,25.300202584265218,13.468544808839658,6.1011803073498685,8.542978767952349,14.290569175364533,10.60907049923331,6.1011803073498685,8.542978767952349,14.290569175364533,10.60907049923331,6.1011803073498685,8.542978767952349,14.290569175364533,24.399256882338744,12.272550371586552,12.4171179252851,27.563960048506335,19.409881066288474,10.33278551423119,10.091935361394771,27.655706872634088,21.72723485571543,11.399412852893908,12.59015246645835,29.52933340820676,11.868872539700174,5.448671728380178,9.285712696295082,7.839468544834795,7.839468508660692,14.938522807963347,12.413785563790869,9.533753861357086,7.946397751420617,13.13771880460234,9.533753861357086,7.946397751420617,12.413785563790869,9.533753861357086,7.946397751420617,8.17417882004111,9.605912810602149,7.943477430596672,10.064959949137357,9.605912810602149,7.943477430596672
W kernel support bw8 [uv-pixels],,,8.154885475730522,13.201029784953732,8.752801615480776,29.052354256086463,,,,,,,,,,,,,28.016803911934932,14.084531684701155,14.250549313972808,31.654581323197917,22.283096228755827,11.85715376850031,11.580618621559918,31.760053416919394,24.945924003757582,13.081886151272757,14.44926031640358,33.91409985362417,13.620969175099102,6.250645520151026,10.654987816022873,8.994718460428034,8.994718418903545,17.146378822087506,14.246722493953742,10.939758616885086,9.11746384391211,15.078098266456577,10.939758616885086,9.11746384391211,14.246722493953742,10.939758616885086,9.11746384391211,9.378940903206564,11.022603998720804,9.11411155364867,11.549646833369083,11.022603998720804,9.11411155364867
W kernel support bw9 [uv-pixels],,,9.48719646998076,15.362404532512176,10.18319328889616,33.83408791200243,,,,,,,,,,,,,32.62670936366933,16.391349398277832,16.584705956933707,36.86845841707262,25.94314857568658,13.797455518095857,13.475453369339029,36.99145652025164,29.046772684010122,15.22365355313921,16.816143341670905,39.50361170532173,15.851464716138922,7.2708952056142016,12.397694999952629,10.464806052768534,10.464806004429722,19.957845162249125,16.580248924332505,12.729257714663154,10.607695328554202,17.548572888429174,12.729257714663154,10.607695328554202,16.580248924332505,12.729257714663154,10.607695328554202,10.912089736796505,12.825717492029504,10.603792865780898,13.439389823440148,12.825717492029504,10.603792865780898
W kernel support bw10 [uv-pixels],,,10.761591773785938,17.43079669990173,11.551488625161543,38.41531955809848,,,,,,,,,,,,,37.04303190243409,18.599092147679098,18.818644295959928,41.86450469997433,29.448178697866805,15.654067580777722,15.288514648261081,42.004328173071684,32.97463692576272,17.273260976915164,19.08144017355392,44.86031169919278,17.986080237107764,8.246594292913208,14.065052931642683,11.871107883254824,11.871107828391569,22.649222274137387,18.813583400350552,14.44142946150418,12.033284308288305,19.913136817555113,14.44142946150418,12.033284308288305,18.813583400350552,14.44142946150418,12.033284308288305,12.37877199545995,14.550928449962342,12.02885506746249,15.247574046165532,14.550928449962342,12.02885506746249
W kernel support bw11 [uv-pixels],,,11.989150278886076,19.424027680489925,12.869569207092137,42.83465843691619,,,,,,,,,,,,,41.30303848485684,20.72675483912689,20.97157953208954,46.68469364874537,32.82798375291496,17.443022506199373,17.03546632082783,46.84077794902431,36.762791104999906,19.248371411884833,21.26462960012375,50.0290845539297,20.043195161957215,9.186257831773439,15.671489884474916,13.225829999514863,13.225829938361374,25.243557202324645,20.965936045870087,16.09108250945266,13.406601393800083,22.192102346393145,16.09108250945266,13.406601393800083,20.965936045870087,16.09108250945266,13.406601393800083,13.79170870157755,16.213156142318233,13.401664275597188,16.989822058545816,16.213156142318233,13.401664275597188
AW kernel support bw0 [uv-pixels],10.099300328047988,10.483341079773224,10.042929326648698,10.11161298760949,10.049411070093836,10.523926584444556,10.1343494752732,10.027900488373735,10.036144012564812,10.151026495610049,10.08376671832827,10.027900488373735,10.036144012564812,10.151026495610049,10.08376671832827,10.027900488373735,10.036144012564812,10.151026495610049,10.488397162459867,10.126866213979932,10.129838360523294,10.618178858916659,10.312772185307491,10.090241437005119,10.08611915878291,10.622146833868067,10.389825913165934,10.109628855677983,10.133439738545436,10.705654538349124,10.118744507789017,10.025292199000631,10.073008568371908,10.052161144624952,10.052161144146611,10.187021025264489,10.1297694740726,10.076929051934584,10.053584550111534,10.145151326676848,10.076929051934584,10.053584550111534,10.1297694740726,10.076929051934584,10.053584550111534,10.056679640206898,10.07808847536826,10.053545424897575,10.08566334074548,10.07808847536826,10.053545424897575
AW kernel support bw1 [uv-pixels],10.17274093796848,10.830402635199338,10.078791222599925,10.20433977054326,10.090666955205434,10.944984633190904,10.23344169545489,10.048645309816804,10.063002674415419,10.262274376399162,10.145793085900564,10.048645309816804,10.063002674415419,10.262274376399162,10.145793085900564,10.048645309816804,10.063002674415419,10.262274376399162,10.88198976355985,10.232133657850943,10.23754569210947,11.111397796551193,10.568378840749562,10.165343603299098,10.15781455715046,11.118381879406117,10.706437004201607,10.2007220126195,10.244101888529034,11.264966808907817,10.217338538978556,10.046448275388778,10.133853469733884,10.095703868928831,10.095703868052812,10.341436994220821,10.237420269213096,10.141021073376164,10.098310510495619,10.26541024393334,10.141021073376164,10.098310510495619,10.237420269213096,10.141021073376164,10.098310510495619,10.103977506466443,10.143140378522531,10.09823886530593,10.156981894648494,10.143140378522531,10.09823886530593
AW kernel support bw2 [uv-pixels],10.304626522063993,11.4337284473104,10.121137046745806,10.313218350097246,10.139356272834902,11.424635743278534,10.410816081702835,10.086148183519594,10.111521490540445,10.461103391774838,10.25734260070054,10.086148183519594,10.111521490540445,10.461103391774838,10.25734260070054,10.086148183519594,10.111521490540445,10.461103391774838,11.331410210035541,10.355584542441736,10.363827591208016,11.66987178420798,10.863860863443215,10.253681479131075,10.242173732702833,11.680131987003564,11.070413577507887,10.307699673183965,10.373810479421447,11.894906739484975,10.333039339914626,10.071464895980322,10.205522581639828,10.147080512451675,10.14708051110844,10.521659157984269,10.36363658400106,10.216490688888454,10.151077123661,10.406234627651582,10.216490688888454,10.151077123661,10.36363658400106,10.216490688888454,10.151077123661,10.159764250811827,10.219732990721152,10.15096728104365,10.240900795350202,10.219732990721152,10.15096728104365
AW kernel support bw3 [uv-pixels],10.527921492543172,12.405489055513991,10.221697908092366,10.569180386320447,10.25486891373588,12.499019476799903,10.709507168840505,10.150380839255835,10.19450940227831,10.795084509501784,10.44667149000248,10.150380839255835,10.19450940227831,10.795084509501784,10.44667149000248,10.150380839255835,10.19450940227831,10.795084509501784,12.341565440814518,10.64517776395376,10.659938190148042,12.910029158476268,11.540665017413398,10.461995533878168,10.441225078313193,12.927128963565771,11.896908936496882,10.559264173382793,10.677802769903732,13.28340851674549,10.60476382009479,10.131030679330756,10.374956956324533,10.26891846167112,10.268918459228628,10.940968784702491,10.659596258440523,10.394806763262615,10.276184676591745,10.735741754139307,10.394806763262615,10.276184676591745,10.659596258440523,10.394806763262615,10.276184676591745,10.291971216769706,10.400671545549647,10.275985001372293,10.438926475478796,10.400671545549647,10.275985001372293
AW kernel support bw4 [uv-pixels],10.918927499495084,13.990025496369373,10.472065920351254,11.191755833602492,10.541791030720226,14.88281273401752,11.228021310709005,10.26507271571293,10.342339109816434,11.372587351673983,10.77953989979799,10.26507271571293,10.342339109816434,11.372587351673983,10.77953989979799,10.26507271571293,10.342339109816434,11.372587351673983,14.595718199471559,11.346210117157087,11.376095170545424,15.623717808163654,13.102110048616018,10.972195154687139,10.929406736407067,15.654293988294105,13.773895666680922,11.171529035437226,11.412216665072254,16.287226851421558,11.264197303636903,10.280297520775637,10.792347687129967,10.571254488579177,10.571254483460516,11.93847727770755,11.375403281445921,10.833489774580796,10.586476691920488,11.52900752096708,10.833489774580796,10.586476691920488,11.375403281445921,10.833489774580796,10.586476691920488,10.619511358177938,10.845631067768414,10.586058530444816,10.924666540830463,10.845631067768414,10.586058530444816
AW kernel support bw5 [uv-pixels],11.570673537333597,16.399946615716193,10.77186230200469,11.913133797193995,10.884168869920519,17.377060862334307,12.081226431248913,10.462345554802349,10.59558939014517,12.317498179687405,11.337832932133706,10.462345554802349,10.59558939014517,12.317498179687405,11.337832932133706,10.462345554802349,10.59558939014517,12.317498179687405,16.96700215459889,12.153414509276283,12.199737813880427,18.427719405422184,14.8007285696124,11.568928303218101,11.501467837854621,18.470863109590873,15.782594990608535,11.881556788608808,12.255657145270309,19.360502803814963,12.026013108927117,10.460803810597254,11.284497551909691,10.931504022442295,10.931504014225002,13.062179105350715,12.198665953950714,11.349771110374538,10.95593168480343,12.435941782136663,11.349771110374538,10.95593168480343,12.198665953950714,11.349771110374538,10.95593168480343,11.008879025212766,11.36900989880876,10.955260897119093,11.49398649801852,11.36900989880876,10.955260897119093
AW kernel support bw6 [uv-pixels],12.645243765068267,19.98149651468927,11.474392632998603,13.52273196459534,11.681989193990875,22.362971962119197,13.463820265939773,10.803332659033874,11.030491342479563,13.83762556040898,12.266385933774403,10.803332659033874,11.030491342479563,13.83762556040898,12.266385933774403,10.803332659033874,11.030491342479563,13.83762556040898,18.162902565550926,12.583372777569512,12.638090918522371,19.82901734612778,18.321033512544407,12.917924672218302,12.798208559496619,24.04039883651143,19.879714049230618,13.46764664544165,14.115513150574241,25.392495026287364,13.719026242798858,10.89089774046696,12.410313998306854,11.548148148609743,11.548148135292202,14.864624990729011,14.017461275819665,12.527481077916844,11.81385240027902,14.424261244416314,12.527481077916844,11.81385240027902,14.017461275819665,12.527481077916844,11.81385240027902,11.910762143017775,12.561935978577527,11.812622605748365,12.784906885425404,12.561935978577527,11.812622605748365
AW kernel support bw7 [uv-pixels],19.963325654862086,27.743687518420032,12.268704496786926,15.242143300995187,12.577653685782998,27.204783601507664,16.775032019871727,11.714281930310277,13.152280647465087,17.441914096677547,14.579176137824199,11.714281930310277,13.152280647465087,17.441914096677547,14.579176137824199,11.714281930310277,13.152280647465087,17.441914096677547,26.36899194907448,15.830839921593839,15.94317463902458,29.321867156708375,21.834456324980106,14.37937608114851,14.207292470367824,29.408130213005048,23.918042028464946,15.163990681569375,16.07830647576626,31.176618346655815,15.519991474342016,11.388064963094013,13.64640832886572,12.706583611083436,12.70658358876542,17.97663660655244,15.940579413050912,13.816383849942111,12.772831997007659,16.510592217991515,13.816383849942111,12.772831997007659,15.940579413050912,13.816383849942111,12.772831997007659,12.915773278515255,13.866274226514145,12.771015374291846,14.188143598714351,13.866274226514145,12.771015374291846
AW kernel support bw8 [uv-pixels],,,12.903571487083745,16.561014080763155,13.28952730987686,30.725222339653545,,,,,,,,,,,,,29.74796297966993,17.27350667286034,17.409140006041966,33.196573900734855,24.424094201013727,15.511031412832,15.300677359451129,33.29716193680135,26.875623237447883,16.466200086081244,17.57216900929408,35.35768896409367,16.897656679818063,11.792818552771177,14.61262349339077,13.45009145628255,13.450091428513142,19.849390587887857,17.406007635863183,14.821549129416653,13.532484876956065,18.09278992673382,14.821549129416653,13.532484876956065,17.406007635863183,14.821549129416653,13.532484876956065,13.710015771903445,14.882802118976649,13.530226510016458,15.277249162580038,14.882802118976649,13.530226510016458
AW kernel support bw9 [uv-pixels],,,13.784298925227041,18.33039751398072,14.272260702461253,35.28095101945396,,,,,,,,,,,,,34.124802767215336,19.200946203154235,19.366271496546577,38.20056578182334,27.80372201738733,17.040239985805183,16.78057935558932,38.319288295709086,30.71994471604004,18.214269886712675,19.564832656775337,40.749666719678,18.74216992898627,12.363895708514512,15.928052025023348,14.474535077924296,14.47453504297628,22.322983302424227,19.362454761543773,16.187464346410508,14.578175475121387,20.197831824740778,16.187464346410508,14.578175475121387,19.362454761543773,16.187464346410508,14.578175475121387,14.801138551608105,16.263426120757938,14.575336124439323,16.751632721212182,16.263426120757938,14.575336124439323
AW kernel support bw10 [uv-pixels],,,14.690536324641695,20.095588411223616,15.278641610340774,39.69555109518979,,,,,,,,,,,,,38.36907885947681,21.1169654239869,21.31059297949884,43.04226706127562,31.099762517123768,18.57551700016869,18.268516090533833,43.178276775145896,34.45760700318398,19.95909679260613,21.543011839037675,45.96137036413006,20.579093330263085,12.96172509475142,17.25762770400122,15.521701014253393,15.521700972293585,24.758579717408697,21.306124010761454,17.565730411559915,15.646083575262455,22.283020843563133,17.565730411559915,15.646083575262455,21.306124010761454,17.565730411559915,15.646083575262455,15.913327625471158,17.655863580009996,15.642677335866072,18.234267583133157,17.655863580009996,15.642677335866072
AW kernel support bw11 [uv-pixels],,,15.612165910267354,21.84703300982627,16.29803091100683,43.98645204386546,,,,,,,,,,,,,42.49636441016533,23.013004283692947,23.233750193861447,47.74369718692936,34.317291811587474,20.1061939250515,19.753660743468775,47.89633053658497,38.09859327888446,21.691007399608374,23.498605746521626,51.01871520632647,22.39932303218794,13.578929742502494,18.590201591139337,16.58078946178581,16.580789413006126,27.152111892577278,23.22865631670318,18.945261579772747,16.725338888412466,24.3411052861777,18.945261579772747,16.725338888412466,23.22865631670318,18.945261579772747,16.725338888412466,17.035587131330985,19.049053312309027,16.721381682020716,19.71431088273313,19.049053312309027,16.721381682020716
"W kernel support bw, ff0 [pixels]",80.7944026243839,83.86672863818579,80.34343461318959,80.89290390087592,80.39528856075069,84.19141267555645,81.0747958021856,80.22320390698988,80.28915210051849,81.20821196488039,80.67013374662616,80.22320390698988,80.28915210051849,81.20821196488039,80.67013374662616,80.22320390698988,80.28915210051849,81.20821196488039,83.90717729967893,81.01492971183946,81.03870688418635,84.94543087133327,82.50217748245993,80.72193149604095,80.68895327026328,84.97717467094454,83.11860730532747,80.87703084542386,81.06751790836348,85.645236306793,80.94995606231214,80.20233759200505,80.58406854697526,80.41728915699962,80.41728915317289,81.49616820211591,81.0381557925808,80.61543241547668,80.42867640089227,81.16121061341478,80.61543241547668,80.42867640089227,81.0381557925808,80.61543241547668,80.42867640089227,80.45343712165518,80.62470780294608,80.4283633991806,80.68530672596384,80.62470780294608,80.4283633991806
"W kernel support bw, ff1 [pixels]",81.38192750374785,86.6432210815947,80.6303297807994,81.63471816434608,80.72533564164347,87.55987706552723,81.86753356363911,80.38916247853443,80.50402139532335,82.0981950111933,81.16634468720451,80.38916247853443,80.50402139532335,82.0981950111933,81.16634468720451,80.38916247853443,80.50402139532335,82.0981950111933,87.0559181084788,81.85706926280754,81.90036553687575,88.89118237240955,84.54703072599649,81.32274882639278,81.26251645720367,88.94705503524894,85.65149603361286,81.605776100956,81.95281510823227,90.11973447126253,81.73870831182845,80.37158620311023,81.07082775787107,80.76563095143065,80.7656309444225,82.73149595376657,81.89936215370477,81.12816858700931,80.78648408396495,82.12328195146672,81.12816858700931,80.78648408396495,81.89936215370477,81.12816858700931,80.78648408396495,80.83182005173154,81.14512302818025,80.78591092244744,81.25585515718795,81.14512302818025,80.78591092244744
"W kernel support bw, ff2 [pixels]",82.43701217651194,91.4698275784832,80.96909637396645,82.50574680077797,81.11485018267922,91.39708594622827,83.28652865362268,80.68918546815675,80.89217192432356,83.6888271341987,82.05874080560432,80.68918546815675,80.89217192432356,83.6888271341987,82.05874080560432,80.68918546815675,80.89217192432356,83.6888271341987,90.65128168028433,82.84467633953389,82.91062072966413,93.35897427366385,86.91088690754572,82.0294518330486,81.93738986162266,93.44105589602852,88.5633086200631,82.46159738547172,82.99048383537158,95.1592539158798,82.664314719317,80.57171916784257,81.64418065311862,81.1766440996134,81.17664408886752,84.17327326387415,82.90909267200848,81.73192551110763,81.208616989288,83.24987702121265,81.73192551110763,81.208616989288,82.90909267200848,81.73192551110763,81.208616989288,81.27811400649462,81.75786392576921,81.2077382483492,81.92720636280161,81.75786392576921,81.2077382483492
"W kernel support bw, ff3 [pixels]",84.22337194034537,99.24391244411193,81.77358326473893,84.55344309056358,82.03895130988704,99.99215581439923,85.67605735072404,81.20304671404668,81.55607521822648,86.36067607601427,83.57337192001984,81.20304671404668,81.55607521822648,86.36067607601427,83.57337192001984,81.20304671404668,81.55607521822648,86.36067607601427,98.73252352651615,85.16142211163007,85.27950552118433,103.28023326781015,92.32532013930718,83.69596427102535,83.52980062650555,103.41703170852617,95.17527149197505,84.47411338706235,85.42242215922985,106.26726813396392,84.83811056075832,81.04824543464605,82.99965565059627,82.15134769336896,82.15134767382902,87.52775027761993,85.27677006752418,83.15845410610092,82.20947741273396,85.88593403311445,83.15845410610092,82.20947741273396,85.27677006752418,83.15845410610092,82.20947741273396,82.33576973415765,83.20537236439718,82.20788001097834,83.51141180383037,83.20537236439718,82.20788001097834
"W kernel support bw, ff4 [pixels]",87.35141999596067,111.92020397095499,83.77652736281003,89.53404666881994,84.33432824576181,119.06250187214016,89.82417048567204,82.12058172570345,82.73871287853147,90.98069881339187,86.23631919838392,82.12058172570345,82.73871287853147,90.98069881339187,86.23631919838392,82.12058172570345,82.73871287853147,90.98069881339187,116.76574559577247,90.7696809372567,91.0087613643634,124.98974246530923,104.81688038892814,87.77756123749711,87.43525389125654,125.23435190635284,110.19116533344737,89.37223228349781,91.29773332057803,130.29781481137246,90.11357842909523,82.2423801662051,86.33878149703973,84.57003590863341,84.57003586768413,95.5078182216604,91.00322625156737,86.66791819664637,84.6918135353639,92.23206016773663,86.66791819664637,84.6918135353639,91.00322625156737,86.66791819664637,84.6918135353639,84.9560908654235,86.76504854214731,84.68846824355853,87.3973323266437,86.76504854214731,84.68846824355853
"W kernel support bw, ff5 [pixels]",92.56538829866878,131.19957292572954,86.17489841603752,95.30507037755196,87.07335095936415,139.01648689867446,96.6498114499913,83.69876443841879,84.76471512116136,98.53998543749924,90.70266345706965,83.69876443841879,84.76471512116136,98.53998543749924,90.70266345706965,83.69876443841879,84.76471512116136,98.53998543749924,135.73601723679113,97.22731607421026,97.59790251104342,147.42175524337748,118.4058285568992,92.55142642574481,92.01174270283697,147.76690487672698,126.26075992486828,95.05245430887047,98.04525716216247,154.8840224305197,96.20810487141694,83.68643048477803,90.27598041527753,87.45203217953836,87.45203211380002,104.49743284280572,97.58932763160571,90.79816888299631,87.64745347842744,99.4875342570933,90.79816888299631,87.64745347842744,97.58932763160571,90.79816888299631,87.64745347842744,88.07103220170212,90.95207919047007,87.64208717695274,91.95189198414816,90.95207919047007,87.64208717695274
"W kernel support bw, ff6 [pixels]",101.16195012054614,159.85197211751415,91.79514106398882,108.18185571676273,93.455913551927,178.90377569695357,107.71056212751819,86.42666127227099,88.2439307398365,110.70100448327184,98.13108747019523,86.42666127227099,88.2439307398365,110.70100448327184,98.13108747019523,86.42666127227099,88.2439307398365,110.70100448327184,145.3032205244074,100.6669822205561,101.10472734817897,158.63213876902225,146.56826810035525,103.34339737774641,102.38566847597295,192.32319069209143,159.03771239384494,107.7411731635332,112.92410520459393,203.1399602102989,109.75220994239086,87.12718192373568,99.28251198645484,92.38518518887794,92.38518508233761,118.91699992583209,112.13969020655732,100.21984862333476,94.51081920223216,115.39408995533051,100.21984862333476,94.51081920223216,112.13969020655732,100.21984862333476,94.51081920223216,95.2860971441422,100.49548782862021,94.50098084598692,102.27925508340323,100.49548782862021,94.50098084598692
"W kernel support bw, ff7 [pixels]",159.70660523889669,221.94950014736025,98.1496359742954,121.93714640796149,100.62122948626399,217.6382688120613,134.20025615897381,93.71425544248221,105.2182451797207,139.53531277342037,116.63340910259359,93.71425544248221,105.2182451797207,139.53531277342037,116.63340910259359,93.71425544248221,105.2182451797207,139.53531277342037,210.95193559259585,126.64671937275071,127.54539711219664,234.574937253667,174.67565059984085,115.03500864918809,113.65833976294259,235.26504170404039,191.34433622771957,121.311925452555,128.6264518061301,249.41294677324652,124.15993179473612,91.10451970475211,109.17126663092576,101.65266888866749,101.65266871012336,143.81309285241952,127.5246353044073,110.53107079953689,102.18265597606127,132.08473774393212,110.53107079953689,102.18265597606127,127.5246353044073,110.53107079953689,102.18265597606127,103.32618622812204,110.93019381211316,102.16812299433477,113.50514878971481,110.93019381211316,102.16812299433477
"W kernel support bw, ff8 [pixels]",,,103.22857189666996,132.48811264610524,106.31621847901488,245.80177871722836,,,,,,,,,,,,,237.98370383735943,138.1880533828827,139.27312004833573,265.57259120587884,195.3927536081098,124.088251302656,122.40541887560903,266.3772954944108,215.00498589958306,131.72960068864995,140.57735207435263,282.86151171274935,135.1812534385445,94.34254842216941,116.90098794712615,107.6007316502604,107.60073142810514,158.79512470310286,139.24806108690547,118.57239303533322,108.25987901564852,144.74231941387055,118.57239303533322,108.25987901564852,139.24806108690547,118.57239303533322,108.25987901564852,109.68012617522756,119.06241695181319,108.24181208013167,122.2179933006403,119.06241695181319,108.24181208013167
"W kernel support bw, ff9 [pixels]",,,110.27439140181633,146.64318011184577,114.17808561969002,282.24760815563167,,,,,,,,,,,,,272.9984221377227,153.60756962523388,154.93017197237262,305.60452625458674,222.42977613909864,136.32191988644146,134.24463484471457,306.5543063656727,245.75955772832032,145.7141590937014,156.5186612542027,325.997333757424,149.93735943189017,98.9111656681161,127.42441620018678,115.79628062339437,115.79628034381024,178.58386641939381,154.8996380923502,129.49971477128406,116.6254038009711,161.58265459792622,129.49971477128406,116.6254038009711,154.8996380923502,129.49971477128406,116.6254038009711,118.40910841286484,130.1074089660635,116.60268899551458,134.01306176969746,130.1074089660635,116.60268899551458
"W kernel support bw, ff10 [pixels]",,,117.52429059713356,160.76470728978893,122.22913288272619,317.56440876151834,,,,,,,,,,,,,306.95263087581446,168.9357233918952,170.4847438359907,344.338136490205,248.79810013699014,148.60413600134953,146.14812872427066,345.42621420116717,275.66085602547184,159.67277434084903,172.3440947123014,367.6909629130405,164.63274664210468,103.69380075801136,138.06102163200975,124.17360811402715,124.17360777834868,198.06863773926958,170.44899208609164,140.52584329247932,125.16866860209964,178.26416674850506,140.52584329247932,125.16866860209964,170.44899208609164,140.52584329247932,125.16866860209964,127.30662100376927,141.24690864007997,125.14141868692857,145.87414066506526,141.24690864007997,125.14141868692857
"W kernel support bw, ff11 [pixels]",,,124.89732728213883,174.77626407861015,130.38424728805464,351.8916163509237,,,,,,,,,,,,,339.9709152813226,184.10403426954358,185.87000155089157,381.9495774954349,274.5383344926998,160.849551400412,158.0292859477502,383.17064429267975,304.78874623107566,173.528059196867,187.988845972173,408.14972165061175,179.19458425750352,108.63143794001995,148.7216127291147,132.64631569428647,132.646315304049,217.21689514061822,185.82925053362544,151.56209263818198,133.80271110729973,194.7288422894216,151.56209263818198,133.80271110729973,185.82925053362544,151.56209263818198,133.80271110729973,136.28469705064788,152.39242649847222,133.77105345616573,157.71448706186504,152.39242649847222,133.77105345616573
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Buffer [PetaBytes],2.7608417429632683,19.752554594303994,9.369991249919998,18.739982499839996,4.438401241476556,18.739982499839996,21.233680393016744,3.932294571383314,7.864589142766628,15.285619380493202,14.155926202850305,3.932294571383314,7.864589142766628,15.285619380493202,14.155926202850305,3.932294571383314,7.864589142766628,15.285619380493202,0.5761538004559678,0.10669706984124505,0.10669706984124505,0.19444051509900548,0.17402055271259745,0.048340006811269924,0.0019448739823673706,0.09724369911836853,0.033561853697201445,0.00932305350938801,0.00932305350938801,0.019522198847968665,9.217020112932722,1.706863782796064,3.413727565592128,0.015666347282520105,0.007833173641260053,0.015666347282520105,18.6411959061079,5.17812683307621,10.35625366615242,18.739982499839996,5.17812683307621,10.35625366615242,18.6411959061079,5.17812683307621,10.35625366615242,15.569297212707173,4.324819141782733,8.649638283565466,18.739982499839996,4.324819141782733,8.649638283565466
