Frequency Max [GHz],0.2,0.2,0.2,0.2,0.95,0.95,1.5,1.4,1.56,1.425,12.0,1.5,1.5,1.7,1.7,1.5,11.0,11.0,13.5,13.5,0.35,0.35,1.05,1.05
Pipeline,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Total Compute Requirement [PetaFLOPS],2.6950640583513383,3.0809304774148782,2.97487361718747,2.97487361718747,2.0582223101774733,0.311280491705966,2.156888707415229,5.634085185467827,1.7569011649071595,0.07439430623906065,1.4987738769839167,3.3322392717613125,3.3322392717613125,3.824710187684459,3.824710187684459,3.2157700790805572,2.171575216744714,2.171575216744714,2.1078925711349115,9.846322000237413,1.73831455000733,6.046747170112572,6.843326585213193,23.23726053981818
-> Phase Rotation Predict [PetaFLOPS],0.14080010870176515,0.29191287011358547,0.14080010870176515,0.14080010870176515,0.29954531163892906,0.007426547451698128,0.30537882461674315,0.07584500000000001,0.24447150183801108,0.0002142827749738384,0.039115440294081774,0.31811698687999995,0.31811698687999995,0.49705779199999994,0.49705779199999994,0.40261681151999995,0.24355831807999997,0.24355831807999997,0.24355831807999997,0.0,0.09885495992089657,0.0,0.8400276684799999,0.6362339737599999
-> Degridding Kernel Update [PetaFLOPS],0.11231828882287608,0.5074498998542001,0.11220221081799903,0.11220221081799903,0.004265068421118512,0.009781424966658145,0.0041140800095508445,0.009314529305223664,0.0041282935982243,0.006607996894578669,0.00402476606599205,0.00406291733348536,0.00406291733348536,0.004976064249306152,0.004976064249306152,0.004200109972180548,0.00385684145657501,0.00385684145657501,0.0039028152030058036,0.06733856557185633,0.07675268606095859,0.641993978447018,0.009910089335911577,0.047321377909369494
-> Identify Component [PetaFLOPS],2.5698164668894108e-05,0.010575376406952311,2.5698164668894108e-05,2.5698164668894108e-05,0.0002521809284372442,0.01574353121290889,0.00027248289030069953,3.6363943642840275,0.0003424366795924427,0.03257025949044959,0.00025112023170112483,0.012760174375057155,0.012760174375057155,0.00029646138464716116,0.00029646138464716116,0.0002615835746886716,0.00027403993538813225,0.00027403993538813225,0.0002769708437880053,3.4582306848214284,1.28678117374701e-05,0.1606662303815806,0.00030205069452417824,5.430780333700013
-> Reprojection [PetaFLOPS],0.15404427372693988,0.326486143980393,0.1547793906532303,0.1547793906532303,0.15399885971179397,0.05094967278306669,0.15421303576228196,0.3292212566106284,0.12656211775183115,0.0052146687715109805,0.11422641748290673,0.3190043771317084,0.3190043771317084,0.2448107996214511,0.2448107996214511,0.22646344420162426,0.10202915520607804,0.10202915520607804,0.09235284486305335,1.3253276613713598,0.08079523838491567,1.1847469382052056,0.4144283876482828,2.755309136923446
-> FFT [PetaFLOPS],0.21497354299386237,0.4002496522858512,0.21599942137503172,0.21599942137503172,0.23046185586048903,0.06368599810578728,0.23376418715468983,0.4447960526594435,0.19110410809528708,0.00606068731377077,0.18757756882867868,0.49289380325468574,0.49289380325468574,0.3725864284073077,0.3725864284073077,0.34606058702006126,0.15995321422446904,0.15995321422446904,0.14485433402541165,2.2260523679467217,0.11276074041658478,1.7276328076808354,0.6156053565641518,3.8909936585302827
-> Subtract Image Component [PetaFLOPS],3.419249981481482e-07,6.838499962962964e-07,3.419249981481482e-07,3.419249981481482e-07,1.709624990740741e-07,3.419249981481482e-07,1.709624990740741e-07,3.419249981481482e-07,2.3313068055555552e-07,4.6626136111111104e-07,1.709624990740741e-07,8.339634101174345e-06,8.339634101174345e-06,1.709624990740741e-07,1.709624990740741e-07,1.709624990740741e-07,1.709624990740741e-07,1.709624990740741e-07,1.709624990740741e-07,3.419249981481482e-07,1.709624990740741e-07,3.419249981481482e-07,1.709624990740741e-07,3.419249981481482e-07
-> Gridding Kernel Update [PetaFLOPS],0.11231828882287608,0.5074498998542001,0.11220221081799903,0.11220221081799903,0.004265068421118512,0.009781424966658145,0.0041140800095508445,0.009314529305223664,0.0041282935982243,0.006607996894578669,0.00402476606599205,0.00406291733348536,0.00406291733348536,0.004976064249306152,0.004976064249306152,0.004200109972180548,0.00385684145657501,0.00385684145657501,0.0039028152030058036,0.06733856557185633,0.07675268606095859,0.641993978447018,0.009910089335911577,0.047321377909369494
-> Flag [PetaFLOPS],0.002856962205657635,0.0020566588576184427,0.002856962205657635,0.002856962205657635,0.001255794770056517,5.232340250060042e-05,0.0015491034921467518,0.00019237049999999996,0.0012401372547782743,6.0388782038081725e-06,0.0012401372547782743,0.0025214386175999993,0.0025214386175999993,0.0025214386175999993,0.0025214386175999993,0.0025214386175999993,0.0025214386175999993,0.0025214386175999993,0.0025214386175999993,0.0025214386175999993,0.0020058570049403743,0.0026576787865599995,0.0025214386175999993,0.0025214386175999993
-> IFFT [PetaFLOPS],0.21497354299386237,0.0030536625082843868,0.21599942137503172,0.21599942137503172,0.23046185586048903,0.0004858856056654913,0.23376418715468983,0.0033935245716815456,0.19110410809528708,4.6239374647298965e-05,0.18757756882867868,0.49289380325468574,0.49289380325468574,0.3725864284073077,0.3725864284073077,0.34606058702006126,0.15995321422446904,0.15995321422446904,0.14485433402541165,0.01698343176228883,0.11276074041658478,0.01318079229492825,0.6156053565641518,0.029685925739519364
-> Grid [PetaFLOPS],0.7902449223609825,0.35444063798303305,0.9288723429396109,0.9288723429396109,0.41654528919898653,0.07292838753866804,0.4565035843011254,0.524718628153301,0.3741408241459692,0.008420498671067284,0.4602768479696166,0.6828142738052517,0.6828142738052517,0.9128358841645162,0.9128358841645162,0.7392997226218306,0.6249223425225302,0.6249223425225302,0.6129706158875681,1.3390954918686506,0.5318472762142988,0.8169712810165515,1.7464096645370808,4.878260521065791
-> Degrid [PetaFLOPS],0.7902449223609825,0.35444063798303305,0.9288723429396109,0.9288723429396109,0.41654528919898653,0.07292838753866804,0.4565035843011254,0.524718628153301,0.3741408241459692,0.008420498671067284,0.4602768479696166,0.6828142738052517,0.6828142738052517,0.9128358841645162,0.9128358841645162,0.7392997226218306,0.6249223425225302,0.6249223425225302,0.6129706158875681,1.3390954918686506,0.5318472762142988,0.8169712810165515,1.7464096645370808,4.878260521065791
-> Subtract Visibility [PetaFLOPS],0.0018022413913825937,0.002594781067676315,0.0018022413913825937,0.0018022413913825937,0.0007921859481360107,6.601375512620556e-05,0.000977212238773578,0.00024270399999999997,0.0007823088058816354,7.618943110180919e-06,0.0007823088058816354,0.0015905849343999998,0.0015905849343999998,0.0015905849343999998,0.0015905849343999998,0.0015905849343999998,0.0015905849343999998,0.0015905849343999998,0.0015905849343999998,0.0031811698687999996,0.0012653434869874763,0.003353057107057777,0.0015905849343999998,0.0031811698687999996
-> Correct [PetaFLOPS],0.019660815178719208,0.02830670255646889,0.019660815178719208,0.019660815178719208,0.0002880676175040039,2.400500186407475e-05,0.00035534990500857386,8.825599999999999e-05,0.0002844759294115038,2.7705247673385164e-06,0.0002844759294115038,0.0005783945215999998,0.0005783945215999998,0.0005783945215999998,0.0005783945215999998,0.0005783945215999998,0.0005783945215999998,0.0005783945215999998,0.0005783945215999998,0.0011567890431999996,0.013803747130772471,0.03657880480426667,0.0005783945215999998,0.0011567890431999996
-> Phase Rotation [PetaFLOPS],0.14080010870176515,0.29191287011358547,0.14080010870176515,0.14080010870176515,0.29954531163892906,0.007426547451698127,0.30537882461674315,0.07584499999999998,0.24447150183801108,0.00021428277497383838,0.039115440294081774,0.31811698687999995,0.31811698687999995,0.49705779199999994,0.49705779199999994,0.40261681151999995,0.24355831807999997,0.24355831807999997,0.24355831807999997,0.0,0.09885495992089659,0.0,0.8400276684799999,0.6362339737599999
