,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso13 (Ingest) [] [Bmax=40000],hpso13 (RCAL) [] [Bmax=40000],hpso13 (ICAL) [] [Bmax=40000],hpso13 (DPrepA) [] [Bmax=40000],hpso13 (DPrepB) [] [Bmax=40000],hpso13 (DPrepC) [] [Bmax=40000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=50000],hpso27and33 (RCAL) [] [Bmax=50000],hpso27and33 (ICAL) [] [Bmax=50000],hpso27and33 (DPrepA) [] [Bmax=50000],hpso27and33 (DPrepB) [] [Bmax=50000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [],hpso37a (RCAL) [],hpso37a (ICAL) [],hpso37a (DPrepA) [],hpso37a (DPrepB) [],hpso37b (Ingest) [],hpso37b (RCAL) [],hpso37b (ICAL) [],hpso37b (DPrepA) [],hpso37b (DPrepB) [],hpso37c (Ingest) [] [Bmax=95000],hpso37c (RCAL) [] [Bmax=95000],hpso37c (ICAL) [] [Bmax=95000],hpso37c (DPrepA) [] [Bmax=95000],hpso37c (DPrepB) [] [Bmax=95000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
AW kernel support pred10 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,14.251073215989699,,14.968775725323177,,,,12.454412495379259,,,,,,,,,,,,,,,,,,,,14.251073215989699,,14.104494615213062,14.104494615213062,11.324175093730176,22.778583992530933,,,,,,,,,,,13.212390645871501,13.81519191525946,11.420068464368185,18.793608423806408,,13.212390645871501,13.212390240791244,11.420068516656972,18.793608423806408,,,,,,,15.045003343257887,12.838753666832492,11.409168512421124,24.920518130312384,,15.045003343257887,15.045003343257887,11.409168512421124,24.920518130312384,,,,,,,,,,,11.953694964207486,40.24747556765276,11.95369488292997,11.558231842801108,12.382206255823066,13.041823795948451,19.624225055388756,,,12.454412495379259,21.445374820275426,12.454412500038368,11.102419533296617,11.957613366793547,18.369180771564487,18.369180771564487,,,13.002406077069082,10.97618153992474,13.002406170083606,11.976300936411773,17.250504597536217,17.250504597536217,33.15111422588958,,,16.17545837743443,10.350319209954257,16.17545837743443,12.167185487749226,14.309862163143983,27.43517484722379,27.43517484722379,,,14.652363963318319,10.017791971955457,14.652363963318319,13.673873611745188,13.673873611745188,24.032607056174665,24.032607056174665,,,14.36615629162272,9.501448385674538,14.36615629162272,12.578069996626219,17.83251616123195,17.83251616123195,17.83251616123195,
AW kernel support pred11 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,14.251073215989699,,14.968775725323177,,,,12.454412495379259,,,,,,,,,,,,,,,,,,,,14.251073215989699,,15.079066711273494,15.079066711273494,11.324175093730176,24.997161286195972,,,,,,,,,,,13.212390645871501,13.81519191525946,11.420068464368185,20.469232000466125,,13.212390645871501,13.212390240791244,11.420068516656972,20.469232000466125,,,,,,,16.16857184418325,13.602777604251083,11.409168512421124,27.42002013156516,,16.16857184418325,16.16857184418325,11.409168512421124,27.42002013156516,,,,,,,,,,,11.953694964207486,49.60397857017745,11.95369488292997,11.558231842801108,12.382206255823066,13.041823795948451,21.415827827584597,,,12.454412495379259,25.797740120112653,12.454412500038368,11.102419533296617,11.957613366793547,19.9848241729486,19.98482428394226,,,13.002406077069082,11.906557431043499,13.002406170083606,11.976300936411773,18.705389849641314,18.705389719962795,36.69133190621243,,,17.47157775463497,11.009547883207942,17.47157775463497,12.167185487749226,14.309862163143983,30.257981307062998,30.257981204209077,,,15.71439853497558,10.525317001187634,15.71439853497558,14.578247912955511,14.578247827182699,26.41636750471519,26.41636750941408,,,15.382745002657172,9.760631254545988,15.382745002657172,12.578069996626219,19.37154915734196,19.371549110840043,19.37154906715571,
W kernel support bw0 [uv-pixels],(undefined),10.424795493390109,10.424795493383744,3.9693509392822195,6.023709689900712,6.089630635513753,(undefined),(undefined),10.424795493390109,7.536016179533921,3.9693509392822195,6.023709689900712,6.089630635513753,(undefined),(undefined),10.424795493390109,7.536016179533921,3.9693509392822195,6.023709689900712,6.089630635513753,(undefined),(undefined),9.188053989098604,(undefined),3.7164272408979873,(undefined),2.441851751211191,(undefined),9.188053989098604,(undefined),2.642686342213587,(undefined),5.649645803991846,5.649645803991846,9.00999033514075,10.866803766971284,10.866803766971284,(undefined),4.191029866420797,4.91134305180645,5.694174640486177,5.9538547695000466,7.140737554884356,(undefined),3.879893526487583,7.043240469069862,4.498928611912455,5.760725937923621,6.5284462493627435,(undefined),3.7164272408979873,(undefined),0.9360220723620901,0.9360220723620901,1.7962423836101467,1.7962423836101467,(undefined),6.320120134094014,7.904374555109369,6.610545670795085,8.682997729687902,(undefined),4.085654611449413,4.740360608619849,6.92490760048096,(undefined),2.7222956626144104,3.4326543498973368,2.185902660662553,1.4186193080902967,(undefined),2.7222956626144104,2.7222956626144104,2.185902660662553,1.4186193080902967,(undefined),4.516331371942302,4.516331371942302,8.524217032533686,2.185902660662553,(undefined),1.038575106054563,0.7898066022424963,1.993187847782638,1.993187847782638,(undefined),1.038575106054563,1.038575106054563,1.993187847782638,1.993187847782638,(undefined),9.269045253288853,0.1953221706187367,9.269045253323613,3.496594036216479,3.9078848670139963,5.330765845567653,10.486645535725192,(undefined),(undefined),3.627217935228502,0.2897375125625824,3.627217935228502,4.250412779826403,4.250412779826403,2.7572079624093724,1.498917538700556,(undefined),(undefined),2.642686342213587,0.144877327058177,2.642686342213587,2.1220005645786215,2.1220005645786215,1.377169759200297,1.377169759200297,(undefined),(undefined),1.4215378806907413,0.04709168979123122,1.4215378806907413,2.7288392139230275,1.26631956429386,1.26631956429386,2.7288392139230275,(undefined),(undefined),1.1571238228598055,0.03834324066260302,1.1571238228598055,2.2208807624565488,2.2208807624565488,2.2208807624565488,2.2208807624565488,(undefined),(undefined),0.996265678228778,0.03301898713103558,0.996265678228778,0.8875171121722862,0.8875171121722862,1.9119328783286214,1.9119328783286214,(undefined),(undefined),0.9649831853453109,0.022884533742185,0.9649831853453109,1.3243013022618904,1.3243013022618904,1.3243013022618904,1.3243013022618904,(undefined)
W kernel support bw1 [uv-pixels],,10.424795493390109,10.424795493383744,3.9693509392822195,6.023709689900712,6.089630635513753,,,10.424795493390109,7.536016179533921,3.9693509392822195,6.023709689900712,6.089630635513753,,,10.424795493390109,7.536016179533921,3.9693509392822195,6.023709689900712,6.089630635513753,,,9.188053989098604,,5.042530332267835,,3.3123202916503938,,9.188053989098604,,3.5849004142001593,,7.5558081317878525,7.555807957518675,9.00999033514075,14.330808282928112,14.760010806960743,,4.978433499426981,5.381632850394465,5.694174640486177,5.9538547695000466,9.694128376353719,,4.271667700078992,7.043240469069862,4.498928611912455,5.760725937923621,8.862083998412457,,5.042530332267835,,1.2692209980431015,1.2692209980431015,2.436209957244668,2.436209957244668,,7.187514239677559,7.904374555109369,6.610545670795085,11.227020615068154,,4.085654611449413,4.740360608619849,6.92490760048096,,3.6929543740178215,4.657252879088964,2.9649649350370177,1.9238666841737944,,3.6929543740178215,3.6929543740178215,2.9649649350370177,1.9238666841737944,,6.1287342405820615,6.1287342405820615,8.524217032533686,2.9649649350370177,,1.4083224565214292,1.0709087122848948,2.703448060721991,2.703448060721991,,1.4083224565214292,1.4083224565214292,2.703448060721991,2.703448060721991,,9.269045253288853,0.5528195745220491,9.269045253323613,3.496594036216479,3.9078848670139963,5.330765845567653,10.486645535725192,,,4.921407531597079,0.5325104404867114,4.921407531597079,5.767610431797001,5.767610431797001,3.7403418662365673,2.032805280771404,,,3.5849004142001593,0.26622873645904577,3.5849004142001593,2.8782467508693417,2.8782467508693417,1.867634582261955,1.867634582261955,,,1.9278261732647402,0.08652404546433214,1.9278261732647402,3.701836085943349,1.7172557981159582,1.7172557981159582,3.701836085943349,,,1.5691287000865404,0.0704489033297653,1.5691287000865404,3.012432749101546,3.012432749101546,3.012432749101546,3.012432749101546,,,1.3509337192184103,0.06066588921005481,1.3509337192184103,1.2034320101735507,1.2034320101735507,2.5931895679169688,2.5931895679169688,,,1.3085027310468316,0.04204490424355305,1.3085027310468316,1.7959126023435839,1.7959126023435839,1.7959126023435839,1.7959126023435839,
W kernel support bw2 [uv-pixels],,10.424795493390109,10.424795493383744,3.9693509392822195,6.023709689900712,6.089630635513753,,,10.424795493390109,7.536016179533921,3.9693509392822195,6.023709689900712,6.089630635513753,,,10.424795493390109,7.536016179533921,3.9693509392822195,6.023709689900712,6.089630635513753,,,9.188053989098604,,6.26231551820893,,4.112694532727357,,9.188053989098604,,4.45129858556229,,7.5558081317878525,7.555807957518675,9.00999033514075,14.330808282928112,16.965237443042813,,4.978433499426981,5.381632850394465,5.694174640486177,5.9538547695000466,12.044780620948854,,4.271667700078992,7.043240469069862,4.498928611912455,5.760725937923621,9.246284065922463,,6.26231551820893,,1.5754158727337388,1.5754158727337388,3.024514393639226,3.024514393639226,,7.187514239677559,7.904374555109369,6.610545670795085,11.227020615068154,,4.085654611449413,4.740360608619849,6.92490760048096,,4.58553067960704,5.783580857330348,3.6812327043967707,2.388260566326599,,4.58553067960704,4.58553067960704,3.6812327043967707,2.388260566326599,,7.612185406250828,7.612185406250828,8.524217032533686,3.6812327043967707,,1.7481192130432452,1.329211325595005,3.356416229675997,3.356416229675997,,1.7481192130432452,1.7481192130432452,3.356416229675997,3.356416229675997,,9.269045253288853,1.5656728663696766,9.269045253323613,3.496594036216479,3.9078848670139963,5.330765845567653,10.486645535725192,,,6.111808024213436,0.8202053221926542,6.111808024213436,7.1633726934686175,7.1633726934686175,4.6443996627123365,2.5235390417095203,,,4.45129858556229,0.409996915864168,4.45129858556229,3.5735223925939597,3.5735223925939597,2.318433828687325,2.318433828687325,,,2.3931773382756996,0.1332295500717633,2.3931773382756996,4.5965642922041265,2.1317047734855246,2.1317047734855246,4.5965642922041265,,,1.9477792737044373,0.10847530097995917,1.9477792737044373,3.740192095888701,3.740192095888701,3.740192095888701,3.740192095888701,,,1.676866556738406,0.09341069336365357,1.676866556738406,1.4937371942337203,1.4937371942337203,3.219475861721528,3.219475861721528,,,1.6241859170739792,0.06473749312980329,1.6241859170739792,2.2293739198633458,2.2293739198633458,2.2293739198633458,2.2293739198633458,
W kernel support bw3 [uv-pixels],,10.424795493390109,10.424795493383744,3.9693509392822195,6.023709689900712,6.089630635513753,,,10.424795493390109,7.536016179533921,3.9693509392822195,6.023709689900712,6.089630635513753,,,10.424795493390109,7.536016179533921,3.9693509392822195,6.023709689900712,6.089630635513753,,,9.188053989098604,,8.50047745124746,,5.580596697827125,,9.188053989098604,,6.040415614112893,,7.5558081317878525,7.555807957518675,9.00999033514075,14.330808282928112,16.965237443042813,,4.978433499426981,5.381632850394465,5.694174640486177,5.9538547695000466,12.722773683558888,,4.271667700078992,7.043240469069862,4.498928611912455,5.760725937923621,9.246284065922463,,8.50047745124746,,2.1365920742394895,2.1365920742394895,4.103183188452253,4.103183188452253,,7.187514239677559,7.904374555109369,6.610545670795085,11.227020615068154,,4.085654611449413,4.740360608619849,6.92490760048096,,6.222713060424202,7.850055627565392,4.9947450022257405,3.239587613144719,,6.222713060424202,6.222713060424202,4.9947450022257405,3.239587613144719,,8.321967457492445,8.321967571095229,8.524217032533686,4.9947450022257405,,2.370914070637911,1.8025735288895692,4.553750462536098,4.553750462536098,,2.370914070637911,2.370914070637911,4.553750462536098,4.553750462536098,,9.269045253288853,4.44003861412298,9.269045253323613,3.496594036216479,3.9078848670139963,5.330765845567653,10.486645535725192,,,7.8670720917835375,1.5081053989072117,7.867071968285669,7.252084068179402,8.504059722376361,6.3026638291180355,3.423186988812577,,,6.040415614112893,0.7536199653627027,6.040415614112893,4.848504693355929,4.848504693355929,3.1448225198644963,3.1448225198644963,,,3.2462604809804363,0.24482101044143323,3.2462604809804363,6.237697858907117,2.8914156916473313,2.8914156916473313,6.237697858907117,,,2.6418307174380202,0.19932637283209165,2.6418307174380202,5.074797319557941,5.074797319557941,5.074797319557941,5.074797319557941,,,2.274237261994897,0.17164110589475248,2.274237261994897,2.0257771255957366,2.0257771255957366,4.367843731792761,4.367843731792761,,,2.2027610677450515,0.1189492096603082,2.2027610677450515,3.023958669925367,3.023958669925367,3.023958669925367,3.023958669925367,
W kernel support bw4 [uv-pixels],,10.424795493390109,10.424795493383744,3.9693509392822195,6.023709689900712,6.089630635513753,,,10.424795493390109,7.536016179533921,3.9693509392822195,6.023709689900712,6.089630635513753,,,10.424795493390109,7.536016179533921,3.9693509392822195,6.023709689900712,6.089630635513753,,,9.188053989098604,,11.049574100728904,,8.200404045658608,,9.188053989098604,,8.608855359747837,,7.5558081317878525,7.555807957518675,9.00999033514075,14.330808282928112,16.965237443042813,,4.978433499426981,5.381632850394465,5.694174640486177,5.9538547695000466,12.722773683558888,,,,,,,,11.049574100728904,,3.137015039736,3.137015039736,6.02747240439238,6.02747240439238,,7.187514239677559,7.904374555109369,6.610545670795085,11.227020615068154,,4.085654611449413,4.740360608619849,6.92490760048096,,9.145155973767588,10.481389586092597,7.02979115840981,4.757882339798518,,9.145155973767588,9.145155973767588,7.029791243354225,4.757882339798518,,8.321967457492445,8.321967571095229,8.524217032533686,7.338615020252308,,3.481287116712576,2.64633358946853,6.69002896168839,6.69002896168839,,3.481287116712576,3.481287116712576,6.69002896168839,6.69002896168839,,9.269045253288853,9.151595974433112,9.269045253323613,3.496594036216479,3.9078848670139963,5.330765845567653,10.486645535725192,,,7.8670720917835375,3.2504789400702174,7.867071968285669,7.252084068179402,8.504059722376361,9.262802364061878,5.027758937737286,,,8.608855359747837,1.6232843182302834,8.608855366488156,6.501055259980971,7.123522881883418,4.6185931441836985,4.6185931441836985,,,4.767690571681026,0.5270406488096513,4.767690571681026,7.901378621449394,4.246153878393419,4.246153878393419,9.167205652224586,,,3.879371547551778,0.429073587484636,3.879371547551778,7.456361738976342,7.456361738976342,7.456361738976342,7.456361738976342,,,3.339242385260959,0.36946215703722224,3.339242385260959,2.974216200474319,2.974216200474319,6.4166406874876145,6.4166406874876145,,,3.2342284099371548,0.25601900675878836,3.2342284099371548,4.440951079266026,4.440951079266026,4.440951079266026,4.440951079266026,
W kernel support bw5 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,11.049574100728904,,10.569479053036934,,,,8.608855359747837,,7.5558081317878525,7.555807957518675,9.00999033514075,14.330808282928112,16.965237443042813,,,,,,,,,,,,,,11.049574100728904,,4.040583123706381,4.040583123706381,6.872913614578523,7.766765471362758,,7.187514239677559,7.904374555109369,6.610545670795085,11.227020615068154,,,,,,9.673017449540385,10.481389586092597,7.02979115840981,6.129789626934148,,9.673017449540385,9.673016896240577,7.029791243354225,6.129789626934148,,8.321967457492445,8.321967571095229,8.524217032533686,8.679590718477893,,4.484260256113697,3.4082926702483607,7.0120700327949965,8.62122321999145,,4.484260256113697,4.484260256113697,7.0120700327949965,8.62122321999145,,,,,,,,,,,7.8670720917835375,5.393608468909343,7.867071968285669,7.252084068179402,8.504059722376361,9.438705839497661,6.477723176360262,,,8.608855359747837,2.6918738823714676,8.608855366488156,6.501055259980971,7.873024668430788,5.950221878561327,5.950221878561327,,,6.142434341516951,0.873490608501621,6.142434341516951,7.901378621449394,5.4701120228921845,5.4701120228921845,11.816861863427214,,,4.997335981508092,0.7110785122808531,4.997335981508092,8.187820387215108,9.609656456234873,9.609656456234873,9.609656456234873,,,4.301196756130765,0.6122621414741536,4.301196756130765,3.830791756046065,3.830791756046065,8.268637420900898,8.268637420900898,,,4.1658618365049875,0.4242303135914847,4.1658618365049875,5.721219044911553,5.721219044911553,5.721219044911553,5.721219044911553,
W kernel support bw6 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,11.049574100728904,,11.960946731551996,,,,8.608855359747837,,7.5558081317878525,7.555807957518675,9.00999033514075,14.330808282928112,16.965237443042813,,,,,,,,,,,,,,11.049574100728904,,5.678147242474211,5.678147242474211,6.872913614578523,10.921744381539064,,7.187514239677559,7.904374555109369,6.610545670795085,11.227020615068154,,,,,,9.673017449540385,10.481389586092597,7.02979115840981,8.617442307508657,,9.673017449540385,9.673016896240577,7.029791243354225,8.617442307508657,,8.321967457492445,8.321967571095229,8.524217032533686,8.679590718477893,,6.3021940841770805,4.788970245952585,7.0120700327949965,12.124928086688872,,6.3021940841770805,6.3021940841770805,7.0120700327949965,12.124928086688872,,,,,,,,,,,7.8670720917835375,10.660900155535018,7.867071968285669,7.252084068179402,8.504059722376361,9.438705839497661,9.1071264513618,,,8.608855359747837,5.3141007609900734,8.608855366488156,6.501055259980971,7.873024668430788,8.36473645385692,8.36473645385692,,,8.63523771822864,1.7224383088306823,8.63523771822864,7.901378621449394,7.689142501652058,7.689142501652058,16.62702242971169,,,7.023963305308395,1.4019949374734644,7.023963305308395,8.187820387215108,11.125293485035789,13.517089807047043,13.517089807047043,,,6.044698117303024,1.207062427762875,6.044698117303024,5.383100605644292,5.383100605644292,11.628410982530248,11.628410982530248,,,5.854346756371612,0.8362156232078194,5.854346756371612,8.042479684370262,8.042479684370262,8.042479684370262,8.042479684370262,
W kernel support bw7 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,11.049574100728904,,11.960946731551996,,,,8.608855359747837,,,,,,,,,,,,,,,,,,,,11.049574100728904,,7.172634929912508,7.172634929912508,6.872913614578523,13.803923656659578,,,,,,,,,,,9.673017449540385,10.481389586092597,7.02979115840981,10.889072134284806,,9.673017449540385,9.673016896240577,7.029791243354225,10.889072134284806,,8.321967457492445,8.321967571095229,8.524217032533686,8.679590718477893,,7.961511226463046,6.048767095788943,7.0120700327949965,15.32631855624362,,7.961511226463046,7.961511226463046,7.0120700327949965,15.32631855624362,,,,,,,,,,,7.8670720917835375,17.033516289096198,7.867071968285669,7.252084068179402,8.504059722376361,9.438705839497661,11.508412652802436,,,8.608855359747837,8.480213015296309,8.608855366488156,6.501055259980971,7.873024668430788,10.569475772686832,10.569475772686832,,,9.384165588532793,2.745579993307315,9.384165717410804,7.901378621449394,9.71512170428332,9.71512170428332,21.025160732651173,,,8.874036741474946,2.234500934608175,8.874036741474946,8.187820387215108,11.125293485035789,17.08816427007813,17.08816427007813,,,7.635991433392867,1.9236558885874566,7.635991433392867,6.799690944212412,6.799690944212412,14.698039480167617,14.698039480167617,,,7.395364415986174,1.3324177294929267,7.395364415986174,8.786799465108366,10.161938447178807,10.161938447178807,10.161938447178807,
W kernel support bw8 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,11.049574100728904,,11.960946731551996,,,,8.608855359747837,,,,,,,,,,,,,,,,,,,,11.049574100728904,,8.229281326261077,8.229281326261077,6.872913614578523,15.843221187490807,,,,,,,,,,,9.673017449540385,10.481389586092597,7.02979115840981,12.495883905531441,,9.673017449540385,9.673016896240577,7.029791243354225,12.495883905531441,,8.321967457492445,8.321967571095229,8.524217032533686,8.679590718477893,,9.134812896725139,6.939348280608262,7.0120700327949965,17.591812751738644,,9.134812896725139,9.134812896725139,7.0120700327949965,17.591812751738644,,,,,,,,,,,7.8670720917835375,22.447432824304194,7.867071968285669,7.252084068179402,8.504059722376361,9.438705839497661,13.20704926796559,,,8.608855359747837,11.165363531776867,8.608855366488156,6.501055259980971,7.873024668430788,12.12891846898425,12.12891846898425,,,9.384165588532793,3.611913184581021,9.384165717410804,7.901378621449394,11.147987305921351,11.147987305921351,24.13913953624257,,,10.18236589725774,2.939284573644833,10.18236589725774,8.187820387215108,11.125293485035789,19.615686801761562,19.615686801761562,,,8.761148113587945,2.5302371693689447,8.761148113587945,7.801213420406173,7.801213420406173,16.870159101898224,16.870159101898224,,,8.484939710920838,1.7523374534652452,8.484939710920838,8.786799465108366,11.660992933633263,11.660992933633263,11.660992933633263,
W kernel support bw9 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,11.049574100728904,,11.960946731551996,,,,8.608855359747837,,,,,,,,,,,,,,,,,,,,11.049574100728904,,9.573793611802477,9.573793611802477,6.872913614578523,18.43979118609973,,,,,,,,,,,9.673017449540385,10.481389586092597,7.02979115840981,14.541235293817078,,9.673017449540385,9.673016896240577,7.029791243354225,14.541235293817078,,8.321967457492445,8.321967571095229,8.524217032533686,8.679590718477893,,10.627891701742737,8.072405280300998,7.0120700327949965,20.476770078540945,,10.627891701742737,10.627891701742737,7.0120700327949965,20.476770078540945,,,,,,,,,,,7.8670720917835375,30.432489368613744,7.867071968285669,7.252084068179402,8.504059722376361,9.438705839497661,15.369414675098303,,,8.608855359747837,15.118905128261733,8.608855366488156,6.501055259980971,7.873024668430788,14.113910996953948,14.113910996953948,,,9.384165588532793,4.885438588555877,9.384165717410804,7.901378621449394,12.971707126307509,12.971707126307509,28.106373669421952,,,11.847434900895617,3.97513547991416,11.847434900895617,8.187820387215108,11.125293485035789,22.83478859917018,22.83478859917018,,,10.192909237710154,3.4216478063023112,10.192909237710154,9.075529970331127,9.075529970331127,19.63606206159642,19.63606206159642,,,9.871386511537306,2.369281519118573,9.871386511537306,8.786799465108366,13.569041698901085,13.569041698901085,13.569041698901085,
W kernel support bw10 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,11.049574100728904,,11.960946731551996,,,,8.608855359747837,,,,,,,,,,,,,,,,,,,,11.049574100728904,,10.85986962861775,10.85986962861775,6.872913614578523,20.92519745915881,,,,,,,,,,,9.673017449540385,10.481389586092597,7.02979115840981,16.498476220165518,,9.673017449540385,9.673016896240577,7.029791243354225,16.498476220165518,,,,,,,12.056206932474282,9.156068791659703,7.0120700327949965,23.238593414473865,,12.056206932474282,12.056206932474282,7.0120700327949965,23.238593414473865,,,,,,,,,,,7.8670720917835375,39.22829705160302,7.867071968285669,7.252084068179402,8.504059722376361,9.438705839497661,17.438755948305136,,,8.608855359747837,19.465459182410857,8.608855366488156,6.501055259980971,7.873024668430788,16.013332014868563,16.013332014868563,,,9.384165588532793,6.283037577269824,9.384165717410804,7.901378621449394,14.716654132975268,14.716654132975268,31.90605545061906,,,13.440440979376893,5.111663892310226,13.440440979376893,8.187820387215108,11.125293485035789,25.916960062818728,25.916960062818728,,,11.56251571733199,4.399563159380168,11.56251571733199,10.294407197599162,10.294407197599162,22.28376543397673,22.28376543397673,,,11.197608967781072,3.04590239923036,11.197608967781072,8.786799465108366,15.394759908507782,15.394759908507782,15.394759908507782,
W kernel support bw11 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,11.049574100728904,,11.960946731551996,,,,8.608855359747837,,,,,,,,,,,,,,,,,,,,11.049574100728904,,12.09868806453974,12.09868806453974,6.872913614578523,23.320764832399785,,,,,,,,,,,9.673017449540385,10.481389586092597,7.02979115840981,18.384489622747385,,9.673017449540385,9.673016896240577,7.029791243354225,18.384489622747385,,,,,,,13.432152302610156,10.199782279574148,7.0120700327949965,25.900917049699974,,13.432152302610156,13.432152302610156,7.0120700327949965,25.900917049699974,,,,,,,,,,,7.8670720917835375,48.78067947446636,7.867071968285669,7.252084068179402,8.504059722376361,9.438705839497661,19.43290203599933,,,8.608855359747837,24.176918647852336,8.608855366488156,6.501055259980971,7.873024668430788,17.84357579701083,17.84357592132385,,,9.384165588532793,7.795262013475696,9.384165717410804,7.901378621449394,16.39791478899266,16.397914641066098,35.57040675971871,,,14.975180440857986,6.341146946148501,14.975180440857986,8.187820387215108,11.125293485035789,28.888500009148512,28.888499901418726,,,12.881860165210714,5.457316004730662,12.881860165210714,11.468448552946981,11.468448443915904,24.83595120272571,24.83595120772361,,,12.475129010025274,3.7775550938695757,12.475129010025274,8.786799465108366,17.15391840820388,17.15391835569027,17.1539183063585,
