,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso13 (Ingest) [] [Bmax=40000],hpso13 (RCAL) [] [Bmax=40000],hpso13 (ICAL) [] [Bmax=40000],hpso13 (DPrepA) [] [Bmax=40000],hpso13 (DPrepB) [] [Bmax=40000],hpso13 (DPrepC) [] [Bmax=40000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=50000],hpso27and33 (RCAL) [] [Bmax=50000],hpso27and33 (ICAL) [] [Bmax=50000],hpso27and33 (DPrepA) [] [Bmax=50000],hpso27and33 (DPrepB) [] [Bmax=50000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [],hpso37a (RCAL) [],hpso37a (ICAL) [],hpso37a (DPrepA) [],hpso37a (DPrepB) [],hpso37b (Ingest) [],hpso37b (RCAL) [],hpso37b (ICAL) [],hpso37b (DPrepA) [],hpso37b (DPrepB) [],hpso37c (Ingest) [] [Bmax=95000],hpso37c (RCAL) [] [Bmax=95000],hpso37c (ICAL) [] [Bmax=95000],hpso37c (DPrepA) [] [Bmax=95000],hpso37c (DPrepB) [] [Bmax=95000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
Frequencies predict kernels10,,,,,,,,,,,,,,,,,,,,,,,,,121.76996186835134,,72.60475060663423,,,,173.00949210663478,,,,,,,,,,,,,,,,,,,,121.76996186835134,,128.9552839954365,128.9552839954365,103.53372815967488,208.1366131261313,,,,,,,,,,,157.53721577520355,165.12840346775113,136.61452599696324,224.78039900687565,,157.53721577520355,157.53721577764625,136.61452599897038,224.78039900687565,,,,,,,153.32109592051842,130.87068191326208,116.2757802747651,253.81258007006804,,153.32109592051842,153.32109592051842,116.2757802747651,253.81258007006804,,,,,,,,,,,295.89161004590994,1289.666896670604,295.8916095870931,286.2573928464548,306.4819640090484,322.07794870671927,885.098465910932,,,173.00949210663478,385.8324063441919,173.00949295529387,154.3639749378033,165.8425617613126,255.3101270029092,465.0196856198049,,,127.26761810853829,139.11266328044837,127.26761885924238,117.2685493745464,168.7849608730139,168.7849608730139,590.5695188942842,,,127.01622632134058,105.2794570411825,127.01622632134058,95.43226146869581,112.37912715906258,215.31092369464866,392.2360052200032,,,86.985267983825,77.02989138280626,86.985267983825,72.98980822903673,81.18514136247647,142.58783823345684,259.7415729824409,,,57.381700631565415,49.158555805272634,57.381700631565415,50.248427855178136,71.20578060895679,71.20578060895679,129.69147812411282,
Frequencies predict kernels11,,,,,,,,,,,,,,,,,,,,,,,,,121.76996186835134,,72.60475060663423,,,,173.00949210663478,,,,,,,,,,,,,,,,,,,,121.76996186835134,,137.85165693163975,137.85165693163975,103.53372815967488,228.38886607000546,,,,,,,,,,,157.53721577520355,165.12840346775113,136.61452599696324,244.79800799337164,,157.53721577520355,157.53721577764625,136.61452599897038,244.79800799337164,,,,,,,164.7543320947048,138.6452578739176,116.2757802747651,279.24706421693026,,164.7543320947048,164.7543320947048,116.2757802747651,279.24706421693026,,,,,,,,,,,295.89161004590994,1589.3536161361862,295.8916095870931,286.2573928464548,306.4819640090484,322.07794870671927,965.853814006436,,,173.00949210663478,464.07502954171514,173.00949295529387,154.3639749378033,165.8425617613126,277.73858492428997,505.89293695582455,,,127.26761810853829,150.8859160980381,127.26761885924238,117.2685493745464,183.0017781750414,183.00177709275965,653.6134493931714,,,137.1799362665934,111.97379672543951,137.1799362665934,95.43226146869581,112.37912715906258,237.44636555354228,432.5752716723101,,,93.28061307218405,80.92574577112413,93.28061307218405,72.98980822903673,86.54593518989073,156.7178753881872,285.4919203842312,,,61.435926302342175,50.49710192354438,61.435926302342175,50.248427855178136,77.34354832846326,77.34354816558805,140.87684299529332,
Frequencies predict de-grid0,32768.0,1648.215074483811,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1009.991056768289,65536.0,384.9903927136422,65536.0,221.01357928574132,65536.0,1009.991056768289,65536.0,630.500997159299,41000.0,261.21149632239513,261.21149632239513,403.0540788670101,500.0,3200.0,65536.0,322.2189921177397,358.008708207243,497.1909356825173,497.1909356825173,5000.0,65536.0,257.9547512531722,716.3789380602059,398.02881001253394,398.02881001253394,2500.0,65536.0,384.9903927136422,65536.0,579.5482945194844,579.5482945194844,894.2545468709208,894.2545468709208,65536.0,978.1192792840136,1207.4924417886202,1207.4924417886202,1207.4924417886202,65536.0,2034.5730199598029,2511.6897145573553,2511.6897145573553,65536.0,559.0389802377872,652.167937578682,483.15612439994436,700.0,65536.0,559.0389802377872,559.0389802377872,483.15612439994436,700.0,65536.0,782.5484754593473,782.5484754593473,1207.4924417886202,700.0,65536.0,653.5959856457442,544.700977250144,1008.5130422414231,1008.5130422414231,65536.0,653.5959856457442,653.5959856457442,1008.5130422414231,1008.5130422414231,65536.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined),65536.0,904.5597563976627,3252.4350388181706,904.5597563976627,1005.0053854489457,1005.0053854489457,753.8913072681331,65536.0,(undefined),65536.0,630.500997159299,1763.4641473468378,630.500997159299,544.9192586195416,544.9192586195416,500.0,65536.0,(undefined),65536.0,624.8353800384707,1248.474078168412,624.8353800384707,964.1342651844309,578.5673494422896,578.5673494422896,65536.0,(undefined),65536.0,490.78836247459066,980.6330847493856,490.78836247459066,757.2948648839946,757.2948648839946,757.2948648839946,65536.0,(undefined),65536.0,387.89753303595126,775.0552407156821,387.89753303595126,598.5358063662928,359.17413165102994,598.5358063662928,65536.0,(undefined),65536.0,312.4475764035551,499.4710456886,312.4475764035551,385.7169764969673,385.7169764969673,500.0,65536.0,(undefined)
Frequencies predict de-grid1,32768.0,3295.7371475272034,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,2019.558553451659,65536.0,577.3907426384637,65536.0,331.46660562125743,65536.0,2019.558553451659,65536.0,945.5973858340815,41000.0,391.7711462657152,391.7711462657152,604.5350169007022,604.5350169007022,3200.0,65536.0,483.27271301923463,536.9572860809892,745.7306245903046,745.7306245903046,5000.0,65536.0,386.88655543856316,1074.522829922399,596.9976404288616,596.9976404288616,2500.0,65536.0,577.3907426384637,65536.0,869.2210952001216,869.2210952001216,1341.280466795748,1341.280466795748,65536.0,1467.0462818524363,1811.1060218133737,1811.1060218133737,1811.1060218133737,65536.0,3051.5849180597625,3767.259952131288,3767.259952131288,65536.0,838.4258482659727,978.1192792840136,724.6015700009231,700.0,65536.0,838.4258482659727,838.4258482659727,724.6015700009231,700.0,65536.0,1173.6900811103947,1173.6900811103947,1811.1060218133737,724.6015700009231,65536.0,980.28100389151,816.9384956364858,1512.656581147074,1512.656581147074,65536.0,980.28100389151,980.28100389151,1512.656581147074,1512.656581147074,65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,,65536.0,1356.5650741686497,4878.377930924128,1356.5650741686497,1507.2335084877068,1507.2335084877068,1130.5624189861267,65536.0,,65536.0,945.5973858340815,2645.042084215139,945.5973858340815,817.2247845994948,817.2247845994948,612.9956417281602,65536.0,,65536.0,937.1445813732993,1872.6026181108641,937.1445813732993,1446.0929017246065,867.7425371530907,867.7425371530907,65536.0,,65536.0,736.0954842024919,1470.8625590408603,736.0954842024919,1135.855231776643,1135.855231776643,1135.855231776643,65536.0,,65536.0,581.7804893085284,1162.5170446296113,581.7804893085284,897.7378949369104,538.6953882234403,897.7378949369104,65536.0,,65536.0,468.627086529404,749.1622878457075,468.627086529404,578.531185344861,578.531185344861,578.531185344861,65536.0,
Frequencies predict de-grid2,32768.0,6590.78122076136,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,65536.0,4038.693502406632,65536.0,769.7910873708475,65536.0,441.9196290505016,65536.0,4038.693502406632,65536.0,1260.6937661381571,41000.0,522.3307944011752,522.3307944011752,806.0159537629055,806.0159537629055,3200.0,65536.0,644.3264317751682,715.9058620235973,994.2703121075014,994.2703121075014,5000.0,65536.0,515.818357835032,1432.6667211420954,795.9664696855765,795.9664696855765,2500.0,65536.0,769.7910873708475,65536.0,1158.8938919419184,1158.8938919419184,1788.3063841681017,1788.3063841681017,65536.0,1955.9732804231985,2414.7195985996987,2414.7195985996987,2414.7195985996987,65536.0,4068.596807922735,5022.83018303477,5022.83018303477,65536.0,1117.8127093029952,1304.070614995905,966.0470075132783,724.6015700009231,65536.0,1117.8127093029952,1117.8127093029952,966.0470075132783,724.6015700009231,65536.0,1564.8316817669963,1564.8316817669963,2414.7195985996987,966.0470075132783,65536.0,1306.96601779828,1089.1760088165274,2016.800117240791,2016.800117240791,65536.0,1306.96601779828,1306.96601779828,2016.800117240791,2016.800117240791,65536.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,65536.0,,65536.0,1808.570373420898,6504.3208178727855,1808.570373420898,2009.4616148571042,2009.4616148571042,1507.2335084877068,65536.0,,65536.0,1260.6937661381571,3526.6200180912742,1260.6937661381571,1089.530300895098,1089.530300895098,817.2247845994948,65536.0,,65536.0,1249.4537785218913,2496.731155957967,1249.4537785218913,1928.0515355533043,1156.917720343117,1156.917720343117,65536.0,,65536.0,981.402602498862,1961.092031615367,981.402602498862,1514.4155964449083,1514.4155964449083,1514.4155964449083,65536.0,,65536.0,775.663443099977,1549.9788473015467,775.663443099977,1196.9399818997936,718.2166421163894,1196.9399818997936,65536.0,,65536.0,624.8065952610568,998.8535291309122,624.8065952610568,771.345393063828,771.345393063828,771.345393063828,65536.0,
Frequencies predict de-grid3,32768.0,13180.869330776477,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,32768.0,13180.869330776477,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,32768.0,13180.869330776477,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,65536.0,8076.963378093995,65536.0,1154.5917716421645,65536.0,662.8256730018257,65536.0,8076.963378093995,65536.0,1890.8865183728738,41000.0,783.4500888644667,783.4500888644667,1208.9778263156445,1208.9778263156445,3200.0,65536.0,966.4338671409787,1073.8030119774014,1491.3496857510963,1491.3496857510963,5000.0,65536.0,773.6819608386259,2148.954502933313,1193.9041270392163,1193.9041270392163,2500.0,65536.0,1154.5917716421645,65536.0,1738.239481487407,1738.239481487407,2682.3582163564483,2682.3582163564483,65536.0,2933.827273569541,3621.9467489340564,3621.9467489340564,3621.9467489340564,65536.0,6102.620579416902,7533.970638170312,7533.970638170312,65536.0,1676.58642438262,1955.9732804231985,1448.937874446404,1086.7697249209346,65536.0,1676.58642438262,1676.58642438262,1448.937874446404,1086.7697249209346,65536.0,2347.114878082577,2347.114878082577,3621.9467489340564,1448.937874446404,65536.0,1960.336041270146,1633.6510299688712,3025.0871866158723,3025.0871866158723,65536.0,1960.336041270146,1960.336041270146,3025.0871866158723,3025.0871866158723,65536.0,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,65536.0,,65536.0,2712.580953399158,9756.206586629321,2712.580953399158,3013.917810920462,3013.917810920462,2260.575665262745,65536.0,,65536.0,1890.8865183728738,5289.77588285103,1890.8865183728738,1634.1413237984086,1634.1413237984086,1225.683057428352,65536.0,,65536.0,1874.0721686334662,3744.9882295565817,1874.0721686334662,2891.968800495013,1735.2680822026339,1735.2680822026339,65536.0,,65536.0,1472.016835659259,2941.5509750472097,1472.016835659259,2271.5363235567147,2271.5363235567147,2271.5363235567147,65536.0,,65536.0,1163.4293482011838,2324.902451403282,1163.4293482011838,1795.3441542175892,1077.2591472221711,1795.3441542175892,65536.0,,65536.0,937.1656113299033,1498.2360108293155,937.1656113299033,1156.9738073711717,1156.9738073711717,1156.9738073711717,65536.0,
Frequencies predict de-grid4,32768.0,26361.045532597625,26361.045532597625,9763.786609120725,9763.786609120725,18976.73594444234,,32768.0,26361.045532597625,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,32768.0,26361.045532597625,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,65536.0,16153.503118368213,65536.0,1924.1931339488854,65536.0,1104.637757415336,65536.0,16153.503118368213,65536.0,3151.2720127948655,41000.0,1305.6886756205524,1305.6886756205524,2014.9015700148148,2014.9015700148148,3671.8483988277135,65536.0,1610.6487352975146,1789.5973095663412,2485.5084313703824,2485.5084313703824,5000.0,,,,,,,65536.0,1924.1931339488854,65536.0,2896.9306558489093,2896.9306558489093,4470.461877672626,4470.461877672626,65536.0,4889.535255060916,6036.401045713372,6036.401045713372,6036.401045713372,65536.0,8136.644346788232,10045.11108995104,10045.11108995104,65536.0,2794.133846147517,3259.7786040836563,2414.7195985996987,1811.1060218133737,65536.0,2794.133846147517,2794.133846147517,2414.7195985996987,1811.1060218133737,65536.0,3911.681264714464,3911.681264714464,6036.401045713372,2414.7195985996987,65536.0,3267.07608300433,2722.601066020032,5041.661321982965,5041.661321982965,65536.0,3267.07608300433,3267.07608300433,5041.661321982965,5041.661321982965,65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,,65536.0,4520.602091119545,16259.978117949031,4520.602091119545,5022.83018303477,5022.83018303477,3767.259952131288,65536.0,,65536.0,3151.2720127948655,8816.087608755946,3151.2720127948655,2723.3633579754173,2723.3633579754173,2042.59958758406,65536.0,,65536.0,3123.308943830835,6241.502374238896,3123.308943830835,4819.803327119454,2891.968800495013,2891.968800495013,65536.0,,65536.0,2453.245297858902,4902.4688598435,2453.245297858902,3785.777775112199,3785.777775112199,3785.777775112199,65536.0,,65536.0,1938.961155425732,3874.749658121138,1938.961155425732,2992.1524969186466,1795.3441542175892,2992.1524969186466,65536.0,,65536.0,1561.8836417927025,2497.000973176252,1561.8836417927025,1928.2306346300104,1928.2306346300104,1928.2306346300104,65536.0,
Frequencies predict de-grid5,,,,,,,,,,,,,,,,,,,,,,,,65536.0,2693.7944938813216,65536.0,1546.4498404991725,,,65536.0,4411.657503381265,41000.0,1827.9272615478014,1827.9272615478014,2820.825313173438,2820.825313173438,5140.550873089399,,,,,,,,,,,,,65536.0,2693.7944938813216,65536.0,4055.6218284109505,4055.6218284109505,6258.565537827592,6258.565537827592,65536.0,6845.243234720015,8450.855341013887,8450.855341013887,8450.855341013887,,,,,65536.0,3911.681264714464,4563.583925007532,3380.5013190529257,2535.4423137715403,65536.0,3911.681264714464,3911.681264714464,3380.5013190529257,2535.4423137715403,65536.0,5476.2476490649415,5476.2476490649415,8450.855341013887,3380.5013190529257,65536.0,4573.8161227602595,3811.551099692947,7058.235456070325,7058.235456070325,65536.0,4573.8161227602595,4573.8161227602595,7058.235456070325,7058.235456070325,,,,,,,,,,65536.0,6328.623220362096,22763.7496469424,6328.623220362096,7031.742547520076,7031.742547520076,5273.94422883101,65536.0,,65536.0,4411.657503381265,12342.399333294128,4411.657503381265,3812.5853877207524,3812.5853877207524,2859.516111832105,65536.0,,65536.0,4372.54571711229,8738.01651794635,4372.54571711229,6747.637852514593,4048.669516720438,4048.669516720438,65536.0,,65536.0,3434.473758490444,6863.38674384752,3434.473758490444,5300.019225641703,5300.019225641703,5300.019225641703,65536.0,,65536.0,2714.492961515096,5424.596864260952,2714.492961515096,4188.960838894559,2513.429159987876,4188.960838894559,65536.0,,65536.0,2186.6016716181684,3495.7659351295993,2186.6016716181684,2699.4874613683787,2699.4874613683787,2699.4874613683787,65536.0,
Frequencies predict de-grid6,,,,,,,,,,,,,,,,,,,,,,,,65536.0,4232.997211799672,65536.0,2430.074005579481,,,65536.0,6932.428481437218,41000.0,2089.046554398382,2089.046554398382,3223.787184677295,3223.787184677295,5874.902110160061,,,,,,,,,,,,,65536.0,4232.997211799672,65536.0,6373.004172057256,6373.004172057256,9834.772857149546,9834.772857149546,65536.0,9778.805203194423,12072.536783162257,12072.536783162257,12072.536783162257,,,,,65536.0,6146.776099231232,7171.194564597031,5312.06475692582,3984.1148936492104,65536.0,6146.776099231232,6146.776099231232,5312.06475692582,3984.1148936492104,65536.0,8605.380415891032,8605.380415891032,13279.763930416846,5312.06475692582,65536.0,7187.29620064201,5989.451165093498,11091.383723198613,11091.383723198613,65536.0,7187.29620064201,7187.29620064201,11091.383723198613,11091.383723198613,,,,,,,,,,65536.0,9944.665471916558,35771.292703005485,9944.665471916558,11049.567270263373,11049.567270263373,8287.312773910124,65536.0,,65536.0,6932.428481437218,19395.02278134777,6932.428481437218,5991.0294435878495,5991.0294435878495,4493.349155498813,65536.0,,65536.0,6871.019262117228,13731.04480464506,6871.019262117228,10603.30690224929,6362.070947466424,6362.070947466424,65536.0,,65536.0,5396.93067846595,10785.222511252052,5396.93067846595,8328.502125879368,8328.502125879368,8328.502125879368,65536.0,,65536.0,4265.556572763876,8524.291276080465,4265.556572763876,6582.577522215963,3949.5991705173633,6582.577522215963,65536.0,,65536.0,3436.0377307500003,5493.295858679581,3436.0377307500003,4242.001114423948,4242.001114423948,4242.001114423948,65536.0,
Frequencies predict de-grid7,,,,,,,,,,,,,,,,,,,,,,,,65536.0,5772.199928863089,65536.0,3313.6981701789073,,,65536.0,9453.19945809229,,,,,,,,,,,,,,,,,,,65536.0,5772.199928863089,65536.0,8690.38651503596,8690.38651503596,13410.980176081997,13410.980176081997,,,,,,,,,,65536.0,8381.87093257496,9778.805203194423,7243.628193459831,5432.787471740869,65536.0,8381.87093257496,8381.87093257496,7243.628193459831,5432.787471740869,65536.0,11734.513181907203,11734.513181907203,18108.672519208772,7243.628193459831,65536.0,9800.776277769013,8167.351229610696,15124.531989867131,15124.531989867131,65536.0,9800.776277769013,9800.776277769013,15124.531989867131,15124.531989867131,,,,,,,,,,65536.0,13560.707720387763,48778.83575805354,13560.707720387763,15067.391990198219,15067.391990198219,11300.681315299544,65536.0,,65536.0,9453.19945809229,26447.64622874797,9453.19945809229,8169.473497854613,8169.473497854613,6127.1821970076,65536.0,,65536.0,9369.492806415708,18724.073090943526,9369.492806415708,14458.975951528024,8675.47237749329,8675.47237749329,65536.0,,65536.0,7359.387597860168,14707.05827828941,7359.387597860168,11356.985025790955,11356.985025790955,11356.985025790955,65536.0,,65536.0,5816.620183612246,11623.985687681801,5816.620183612246,8976.19420530767,5385.769180622001,8976.19420530767,65536.0,,65536.0,4685.473789635364,7490.825782099815,4685.473789635364,5784.514767308252,5784.514767308252,5784.514767308252,65536.0,
Frequencies predict de-grid8,,,,,,,,,,,,,,,,,,,,,,,,65536.0,6926.601966421829,65536.0,3976.416293492524,,,65536.0,11343.777690213876,,,,,,,,,,,,,,,,,,,65536.0,6926.601966421829,65536.0,10428.4232721203,10428.4232721203,16093.135665209433,16093.135665209433,,,,,,,,,,65536.0,10058.192057312433,11734.513181907203,8692.300770509128,6519.291904838624,65536.0,10058.192057312433,10058.192057312433,8692.300770509128,6519.291904838624,65536.0,14081.36275621053,14081.36275621053,21730.353960832246,8692.300770509128,65536.0,11760.88633545867,9800.776277769013,18149.39318963302,18149.39318963302,65536.0,11760.88633545867,11760.88633545867,18149.39318963302,18149.39318963302,,,,,,,,,,65536.0,16272.739405947037,58534.493049076,16272.739405947037,18080.76052947859,18080.76052947859,13560.707720387763,65536.0,,65536.0,11343.777690213876,31737.113814226475,11343.777690213876,9803.306538131448,9803.306538131448,7352.556977594775,65536.0,,65536.0,11243.34796445438,22468.844305677696,11243.34796445438,17350.727738383684,10410.523449761204,10410.523449761204,65536.0,,65536.0,8831.230287258184,17648.435103629192,8831.230287258184,13628.347200527185,13628.347200527185,13628.347200527185,65536.0,,65536.0,6979.91789160953,13948.756496420494,6979.91789160953,10771.406717543246,6462.896688077755,10771.406717543246,65536.0,,65536.0,5622.550833767074,8988.973224644848,5622.550833767074,6941.400006915847,6941.400006915847,6941.400006915847,65536.0,
Frequencies predict de-grid9,,,,,,,,,,,,,,,,,,,,,,,,65536.0,8465.804683062097,65536.0,4860.040457849356,,,65536.0,13864.548666143593,,,,,,,,,,,,,,,,,,,65536.0,8465.804683062097,65536.0,12745.80561478502,12745.80561478502,19669.342983940514,19669.342983940514,,,,,,,,,,65536.0,12293.286890062791,14342.123819976441,10623.864206351685,7967.9644820068215,65536.0,12293.286890062791,12293.286890062791,10623.864206351685,7967.9644820068215,65536.0,14863.645947578823,14863.645947578823,22937.581107860868,9175.19162948914,65536.0,14374.366412224357,11978.676341888648,22182.5414561377,22182.5414561377,65536.0,14374.366412224357,14374.366412224357,22182.5414561377,22182.5414561377,,,,,,,,,,65536.0,19888.781652859445,65536.0,19888.781652859445,22098.585247986757,22098.585247986757,16574.07625990824,65536.0,,65536.0,13864.548666143593,38789.737261594215,13864.548666143593,11981.750591556696,11981.750591556696,8986.39001802265,65536.0,,65536.0,13741.821508373107,27461.872591764837,13741.821508373107,21206.396787594203,12723.924879435377,12723.924879435377,65536.0,,65536.0,10793.687206394625,21570.270870563025,10793.687206394625,16656.83010023241,16656.83010023241,16656.83010023241,65536.0,,65536.0,8530.981502249522,17048.45090799035,8530.981502249522,13165.023400438648,7899.0666979190055,13165.023400438648,65536.0,,65536.0,6871.986892542499,10986.503148049804,6871.986892542499,8483.913659718617,8483.913659718617,8483.913659718617,65536.0,
Frequencies predict de-grid10,,,,,,,,,,,,,,,,,,,,,,,,65536.0,10005.007399588114,65536.0,5743.6646221473065,,,65536.0,16385.319641927366,,,,,,,,,,,,,,,,,,,65536.0,10005.007399588114,65536.0,15063.187957426973,15063.187957426973,23245.550302517167,23245.550302517167,,,,,,,,,,65536.0,14528.381722726019,16949.734457906787,12555.427642058461,9416.637058985098,65536.0,14528.381722726019,14528.381722726019,12555.427642058461,9416.637058985098,,,,,,65536.0,16987.846488913263,14156.576405879654,26215.689722525978,26215.689722525978,65536.0,16987.846488913263,16987.846488913263,26215.689722525978,26215.689722525978,,,,,,,,,,65536.0,23504.823899465737,65536.0,23504.823899465737,26116.409966266117,26116.409966266117,19587.444798963337,65536.0,,65536.0,16385.319641927366,45842.360708727,16385.319641927366,14160.194644853267,14160.194644853267,10620.22305818207,65536.0,,65536.0,16240.295052214517,32454.900877828833,16240.295052214517,25062.065836560167,15037.326308886926,15037.326308886926,65536.0,,65536.0,12756.144125484823,25492.106637455006,12756.144125484823,19685.312999888833,19685.312999888833,19685.312999888833,65536.0,,65536.0,10082.04511280974,20148.145319474246,10082.04511280974,15558.640083399476,9335.236707718514,15558.640083399476,65536.0,,65536.0,8121.422951328106,12984.033071312198,8121.422951328106,10026.427312422024,10026.427312422024,10026.427312422024,65536.0,
