Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Pipeline,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Baseline fraction [per bin]2 [%],13.650623179999998,13.650623179999998,13.650623179999998,13.650623179999998,13.650623179999998,13.650623179999998,13.650623179999998,13.650623179999998,13.650623179999998,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352,2.8392311305309352
Baseline fraction [per bin]3 [%],17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421,5.087819280951421
Baseline fraction [per bin]4 [%],6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509,7.13952645133509
Baseline fraction [per bin]5 [%],,,,,,,,,,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424,3.756282060702424
Baseline fraction [per bin]6 [%],,,,,,,,,,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529,5.735454121072529
Baseline fraction [per bin]7 [%],,,,,,,,,,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055,5.481581271025055
Baseline fraction [per bin]8 [%],,,,,,,,,,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683,1.7356613603245683
Baseline fraction [per bin]9 [%],,,,,,,,,,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762,1.5180560602838762
Baseline fraction [per bin]10 [%],,,,,,,,,,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607,0.10880265302034607
Baseline fraction [per bin]11 [%],,,,,,,,,,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975,0.04662970830871975
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],(undefined),42.43009896992496,15.714851470342577,42.43009896992496,15.714851470342577,15.714851470342577,15.714851470342577,15.714851470342577,(undefined),(undefined),0.20659673076546664,0.31882211537880656,0.20659673076546664,0.31882211537880656,0.31882211537880656,0.31882211537880656,0.31882211537880656,(undefined),(undefined),0.37305385133426067,0.5757003878615135,0.37305385133426067,0.5757003878615135,0.5757003878615135,0.5757003878615135,0.5757003878615135,(undefined),(undefined),1.2896443698627305,2.7862687003207136,1.2896443698627305,1.1145074801282855,1.1145074801282855,2.7862687003207136,1.1145074801282855,(undefined),(undefined),2.440460697760725,6.779057493779791,2.440460697760725,2.711622997511917,2.711622997511917,2.711622997511917,2.0337172481339376,(undefined)
Total FoV size [deg],15.714851470342577,42.43009896992496,15.714851470342577,42.43009896992496,15.714851470342577,15.714851470342577,15.714851470342577,15.714851470342577,15.714851470342577,0.31882211537880656,0.8608197115227776,0.31882211537880656,0.8608197115227776,0.31882211537880656,0.31882211537880656,0.31882211537880656,0.31882211537880656,0.31882211537880656,0.5757003878615135,1.554391047226086,0.5757003878615135,1.554391047226086,0.5757003878615135,0.5757003878615135,0.5757003878615135,0.5757003878615135,0.5757003878615135,2.7862687003207136,7.522925490865928,2.7862687003207136,7.522925490865928,2.7862687003207136,2.7862687003207136,2.7862687003207136,2.7862687003207136,2.7862687003207136,6.77905749377979,18.303455233205437,6.77905749377979,18.303455233205437,6.77905749377979,6.77905749377979,6.77905749377979,6.77905749377979,6.77905749377979
