Telescope,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined
Band,HPSO 01c,HPSO 01s,HPSO 02A,HPSO 02B,HPSO 13c,HPSO 13s,HPSO 14c,HPSO 14s,HPSO 15c,HPSO 15s,HPSO 22,HPSO 27,HPSO 33,HPSO 37a,HPSO 37b,HPSO 37c,HPSO 38a,HPSO 38b,HPSO max_Band5_MID_continuum,HPSO max_Band5_MID_spectral,HPSO max_LOW_continuum,HPSO max_LOW_spectral,HPSO max_MID_continuum,HPSO max_MID_spectral
Mode,Continuum,Spectral,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral
BL-dependent averaging,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
W kernel support bw8 [uv-pixels],,,,,0.8885086495143805,79.4086781553129,0.7144276425017227,30.725517514350816,0.8910420617105748,27.194623228828217,15.202487493107725,0.5431351142362545,0.5431351142362545,0.5693656035503021,0.5693656035503021,0.7285275208741325,0.8856152795297089,0.8856152795297089,0.5955475628139973,19.283861438451517,,,0.785961218095008,7.052299234285044
W kernel support bw9 [uv-pixels],,,,,1.0532909889209137,92.62864444076725,0.830601327193987,35.78505001475168,1.0359621828643235,31.66816371849869,17.693458040798703,0.6906305014053227,0.6906305014053227,0.7646619712336059,0.7646619712336059,0.924420304129422,1.0296519860737139,1.0296519860737139,0.6923770388672352,22.448152872763522,,,1.062398074093884,8.203863334881804
W kernel support bw10 [uv-pixels],,,,,1.3537367834446292,105.32497201284076,1.0049094108251848,40.63292912274192,1.1744449722373083,35.95362434510741,20.077663242845823,0.8875494912621624,0.8875494912621624,0.982708616695886,0.982708616695886,1.188070155001943,1.1672904332771576,1.1672904332771576,0.7848987786673574,25.47777177629197,,,1.3654444936765433,9.30524069766478
W kernel support bw11 [uv-pixels],,,,,1.678478691982023,117.5995036779629,1.2458905613438238,45.30992861951457,1.4302265855727736,40.08720490238916,22.375580151591127,1.1003610172464684,1.1003610172464684,1.2183605229225036,1.2183605229225036,1.4730261516390504,1.2997495720659802,1.2997495720659802,0.8739332256983621,28.398581070595633,,,1.6929984737925015,10.366027125460354
AW kernel support bw0 [uv-pixels],10.010247533787258,10.59354051080251,10.024344993026949,10.024344993026949,10.000515431189083,13.356097427948363,10.000333372727608,10.583720583027409,10.000518371891841,10.46100403958834,10.147524506318556,10.00019275503478,10.00019275503478,10.000211808986503,10.000211808986503,10.000346650316851,10.00051208287481,10.00051208287481,10.000231721989243,10.23562250706686,10.00888267087673,10.292609356536618,10.000306864422521,10.03215791158417
AW kernel support bw1 [uv-pixels],10.017875237582677,11.016273511855442,10.042450547114921,10.042450547114921,10.000947069116691,15.637647195306547,10.000612538072483,11.050673857746036,10.000952472684125,10.833319894795954,10.269725791392698,10.000354159803372,10.000354159803372,10.000389170122626,10.000389170122626,10.000636935307822,10.000940916561062,10.000940916561062,10.000425759042523,10.429392953806953,10.01549489236678,10.50578624906854,10.000563829865738,10.059043519679237
AW kernel support bw2 [uv-pixels],10.031686102298568,11.745205982069642,10.075192667716836,10.075192667716836,10.001458307234094,17.978305831561798,10.000943180611685,11.580556202254208,10.001466627941916,11.259231200623104,10.41279748117587,10.000545323140315,10.000545323140315,10.000599232495976,10.000599232495976,10.000980748407784,10.001448833194598,10.001448833194598,10.000655572770079,10.654694423356394,10.027468413988249,10.882076394075922,10.000868177984792,10.090817795608247
AW kernel support bw3 [uv-pixels],10.05540764921658,12.906211536034668,10.131303959622258,10.131303959622258,10.002679645789224,22.632104681246414,10.001733072228127,12.760855235761635,10.002694935574162,11.821341617230518,10.74745333182197,10.001001995901289,10.001001995901289,10.001101055234598,10.001101055234598,10.00180210487815,10.00266223669003,10.00266223669003,10.001204581796442,11.175604044463137,10.048038425545071,11.501863276914387,10.001595251473814,10.166396094846629
AW kernel support bw4 [uv-pixels],10.097980771696129,14.773493439362523,10.231597708183873,10.231597708183873,10.005767273152081,31.53114499956872,10.003729994801136,15.356162809709721,10.005800180248412,14.371199842423303,11.552549415914298,10.002156496861888,10.002156496861888,10.002369702412532,10.002369702412532,10.00387857340736,10.005729804782332,10.005729804782332,10.002592523097118,12.399192443915766,10.084969769037457,12.542961051735652,10.003433363340024,10.355307814998739
AW kernel support bw5 [uv-pixels],10.17186323160197,17.57240797873824,10.404410322825942,10.404410322825942,10.00955503602559,39.888092813841155,10.006179858969592,18.04949120736147,10.009609551457167,16.645055075852657,12.472188533284706,10.003572890403493,10.003572890403493,10.003926134071694,10.003926134071694,10.00642601824776,10.009492964091075,10.009492964091075,10.004295306940758,13.757101114011563,10.149106037712773,14.182040023951494,10.005688408249096,10.582864404101763
AW kernel support bw6 [uv-pixels],10.52173566815543,21.677743268215394,11.20053050342775,11.20053050342775,10.018824433002631,43.89830696448433,10.012176026558844,23.396328273739744,10.018931804739566,21.229282826047804,14.486082565356888,10.007039888025911,10.007039888025911,10.007735875247054,10.007735875247054,10.012660959218755,10.018702177734946,10.018702177734946,10.008463234542708,16.631116406167166,10.457867428841906,16.703360957485845,10.01120784908986,11.121426818489752
AW kernel support bw7 [uv-pixels],12.374111539744197,30.468025270349727,15.050565602326973,15.050565602326973,10.029973271324891,69.77977848226438,10.019389888414668,28.563464272901143,10.030144165925647,25.708511685185346,16.59690582240413,10.011211707181708,10.011211707181708,10.012320015155229,10.012320015155229,10.020161945610749,10.02977868678868,10.02977868678868,10.0134782487531,19.550371107378787,12.10202695786286,22.363293766544942,10.01784841281028,11.738306893814
AW kernel support bw8 [uv-pixels],,,,,10.03939478356449,80.0358555047303,10.025487861264935,32.31187748374704,10.039619313287602,28.97494663598059,18.19658281046463,10.014738925819106,10.014738925819106,10.016195744418447,10.016195744418447,10.02650249831271,10.039139127601356,10.039139127601356,10.017718148339656,21.722507037112393,,,10.030839199007698,12.236622266373079
AW kernel support bw9 [uv-pixels],,,,,10.055318090808564,93.16687056531458,10.034435637580044,37.15601976205577,10.053517675138638,33.20952564102108,20.323839633334654,10.023820154485582,10.023820154485582,10.02919278557606,10.02919278557606,10.042636750310486,10.052869401938212,10.052869401938212,10.023940640484188,24.57477502234682,,,10.056276133233336,12.934580535039318
AW kernel support bw10 [uv-pixels],,,,,10.091214162768077,105.7986282023812,10.05036531296077,41.84536926702605,10.06872985995818,37.31840167463097,22.43017078163076,10.039309941397352,10.039309941397352,10.048169794809816,10.048169794809816,10.070328231651953,10.067897841934053,10.067897841934053,10.03075600803616,27.36999917217426,,,10.09279142087617,13.659703673267474
AW kernel support bw11 [uv-pixels],,,,,10.139886129510414,118.02390971876508,10.07731329724573,46.40031930391756,10.101759652955478,41.315662851830574,24.50850030336983,10.060357566621361,10.060357566621361,10.07394671237723,10.07394671237723,10.107908094329536,10.084113691846483,10.084113691846483,10.03811532524804,30.107796445824338,,,10.14229973094188,14.403281513800245
"W kernel support bw, ff0 [pixels]",10.010247533787258,10.59354051080251,10.024344993026949,10.024344993026949,10.000515431189083,13.356097427948363,10.000333372727608,10.583720583027409,10.000518371891841,10.46100403958834,10.147524506318556,10.00019275503478,10.00019275503478,10.000211808986503,10.000211808986503,10.000346650316851,10.00051208287481,10.00051208287481,10.000231721989243,10.23562250706686,10.00888267087673,10.292609356536618,10.000306864422521,10.03215791158417
"W kernel support bw, ff1 [pixels]",10.017875237582677,11.016273511855442,10.042450547114921,10.042450547114921,10.000947069116691,15.637647195306547,10.000612538072483,11.050673857746036,10.000952472684125,10.833319894795954,10.269725791392698,10.000354159803372,10.000354159803372,10.000389170122626,10.000389170122626,10.000636935307822,10.000940916561062,10.000940916561062,10.000425759042523,10.429392953806953,10.01549489236678,10.50578624906854,10.000563829865738,10.059043519679237
"W kernel support bw, ff2 [pixels]",10.031686102298568,11.745205982069642,10.075192667716836,10.075192667716836,10.001458307234094,17.978305831561798,10.000943180611685,11.580556202254208,10.001466627941916,11.259231200623104,10.41279748117587,10.000545323140315,10.000545323140315,10.000599232495976,10.000599232495976,10.000980748407784,10.001448833194598,10.001448833194598,10.000655572770079,10.654694423356394,10.027468413988249,10.882076394075922,10.000868177984792,10.090817795608247
"W kernel support bw, ff3 [pixels]",10.05540764921658,12.906211536034668,10.131303959622258,10.131303959622258,10.002679645789224,22.632104681246414,10.001733072228127,12.760855235761635,10.002694935574162,11.821341617230518,10.74745333182197,10.001001995901289,10.001001995901289,10.001101055234598,10.001101055234598,10.00180210487815,10.00266223669003,10.00266223669003,10.001204581796442,11.175604044463137,10.048038425545071,11.501863276914387,10.001595251473814,10.166396094846629
"W kernel support bw, ff4 [pixels]",10.097980771696129,14.773493439362523,10.231597708183873,10.231597708183873,10.005767273152081,31.53114499956872,10.003729994801136,15.356162809709721,10.005800180248412,14.371199842423303,11.552549415914298,10.002156496861888,10.002156496861888,10.002369702412532,10.002369702412532,10.00387857340736,10.005729804782332,10.005729804782332,10.002592523097118,12.399192443915766,10.084969769037457,12.542961051735652,10.003433363340024,10.355307814998739
"W kernel support bw, ff5 [pixels]",10.17186323160197,17.57240797873824,10.404410322825942,10.404410322825942,10.00955503602559,39.888092813841155,10.006179858969592,18.04949120736147,10.009609551457167,16.645055075852657,12.472188533284706,10.003572890403493,10.003572890403493,10.003926134071694,10.003926134071694,10.00642601824776,10.009492964091075,10.009492964091075,10.004295306940758,13.757101114011563,10.149106037712773,14.182040023951494,10.005688408249096,10.582864404101763
"W kernel support bw, ff6 [pixels]",10.52173566815543,21.677743268215394,11.20053050342775,11.20053050342775,10.018824433002631,43.89830696448433,10.012176026558844,23.396328273739744,10.018931804739566,21.229282826047804,14.486082565356888,10.007039888025911,10.007039888025911,10.007735875247054,10.007735875247054,10.012660959218755,10.018702177734946,10.018702177734946,10.008463234542708,16.631116406167166,10.457867428841906,16.703360957485845,10.01120784908986,11.121426818489752
"W kernel support bw, ff7 [pixels]",12.374111539744197,30.468025270349727,15.050565602326973,15.050565602326973,10.029973271324891,69.77977848226438,10.019389888414668,28.563464272901143,10.030144165925647,25.708511685185346,16.59690582240413,10.011211707181708,10.011211707181708,10.012320015155229,10.012320015155229,10.020161945610749,10.02977868678868,10.02977868678868,10.0134782487531,19.550371107378787,12.10202695786286,22.363293766544942,10.01784841281028,11.738306893814
"W kernel support bw, ff8 [pixels]",,,,,10.03939478356449,80.0358555047303,10.025487861264935,32.31187748374704,10.039619313287602,28.97494663598059,18.19658281046463,10.014738925819106,10.014738925819106,10.016195744418447,10.016195744418447,10.02650249831271,10.039139127601356,10.039139127601356,10.017718148339656,21.722507037112393,,,10.030839199007698,12.236622266373079
