,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [blcoal] [spbf],37cDPrepA [blcoal] [spbf],37cDPrepB [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
"W kernel support pred, ff4 [pixels]",92.65405346031675,164.35470191178885,82.45529037752517,89.50129831500831,81.68179078201494,118.94611526242284,97.72308816802484,84.479895559828,94.32812104274444,111.47610530480766,90.65596902844565,84.479895559828,94.32812104274444,111.47610530480766,90.65596902844565,84.479895559828,94.32812104274444,111.47610530480766,100.80894175379639,99.45177548671234,93.9510329122563,135.95693043900772,96.19424366449962,93.09904934950087,84.90097542195595,120.95152104176651,,,,,85.2419888896527,82.63642448383388,82.53409660465975,91.93494736140508,89.31932393573179,86.49763801763868,90.0284665356706,85.40205748227984,85.71792588723729,89.78636929944082,87.60086360073925,86.8751576376699,89.78636929944082,87.60086360073925,85.71792588723729,89.78636929944082,87.60086360073925,82.73359551666995,82.73178565917667,81.83215903413651,83.79884955070652,82.73178565917667,81.83215903413651
"W kernel support pred, ff5 [pixels]",,,84.0333580089527,95.2539622659765,82.77046050927744,138.85058658866004,,,,,,,,,,,,,112.47050192056847,110.44354597252135,102.12521825653674,162.78210026805456,,,,,,,,,88.52847572810917,84.32810022327902,84.16163767514064,99.02957178901353,94.96981106611287,90.52813785929334,,,89.28820055157011,95.69856752324823,92.27297207632829,91.12645106797494,95.69856752324823,92.27297207632829,89.28820055157011,95.69856752324823,92.27297207632829,84.48606418691041,84.48312300464701,83.01651468181325,86.21091597244781,84.48312300464701,83.01651468181325
"W kernel support pred, ff6 [pixels]",,,87.78433598789093,108.09274863535802,85.3815088801862,178.6478952190924,,,,,,,,,,,,,118.51113662449602,116.15492899702377,106.43490828938555,176.06487819362448,,,,,,,,,96.12053551248128,88.34095633849665,88.02678026175316,110.60553506350222,104.32613335965631,97.3269551785101,,,97.50009465186221,108.86708189964698,102.84965559088691,100.80742921286203,108.86708189964698,102.84965559088691,97.50009465186221,108.86708189964698,102.84965559088691,88.63864477929438,88.63310597873169,85.85199038796574,91.86195728753782,88.63310597873169,85.85199038796574
"W kernel support pred, ff7 [pixels]",,,92.10588599036126,121.81077742870652,88.42763296886,217.30123641558183,,,,,,,,,,,,,,,,,,,,,,,,,104.55332949002258,92.95147506489623,92.47448208782825,,,,,,106.57418311618848,122.90804067844334,114.3257492344816,111.38147917297532,122.90804067844334,114.3257492344816,106.57418311618848,122.90804067844334,114.3257492344816,93.4027585001396,93.39436786657033,89.15157520507945,98.2494018606672,93.39436786657033,89.15157520507945
"W kernel support pred, ff8 [pixels]",,,95.61408842405783,132.33483885201747,90.92772109885287,245.40788882530018,,,,,,,,,,,,,,,,,,,,,,,,,111.20132639190743,96.68547690695641,96.08137076478752,,,,,,113.70021609931077,133.66512041788877,123.22158862794616,119.61618480755344,133.66512041788877,123.22158862794616,113.70021609931077,133.66512041788877,123.22158862794616,97.25641478213099,97.24580475924125,91.85357884488614,103.35347854265643,97.24580475924125,91.85357884488614
"W kernel support pred, ff9 [pixels]",,,100.550471634389,146.4554958556814,94.48305337698663,281.7818087615865,,,,,,,,,,,,,,,,,,,,,,,,,120.31554027717604,101.92800845056586,101.15168954142929,,,,,,123.43864034591552,148.08368942307666,148.08368632514882,130.79375874484248,148.08368942307666,148.08368632514882,123.43864034591552,148.08368942307666,148.08368632514882,102.66074920416955,102.64714065475029,95.68751642962683,110.43271143956223,102.64714065475029,95.68751642962683
"W kernel support pred, ff10 [pixels]",,,111.98724492466839,160.54414997914284,98.23645810105202,317.03012957499146,,,,,,,,,,,,,,,,,,,,,,,,,129.58771839015012,107.38802228851081,106.43909883547452,,,,,,133.3163007804826,179.28508883765528,179.28508883765528,142.06093830508036,179.28508883765528,179.28508883765528,133.3163007804826,179.28508883765528,179.28508883765528,108.28264089968944,108.26603496433695,99.72531014092665,117.71550974911061,108.26603496433695,99.72531014092665
"W kernel support pred, ff11 [pixels]",,,125.93436521389373,174.5241756080748,102.14163957177493,351.2915433971983,,,,,,,,,,,,,,,,,,,,,,,,,138.9291203599814,112.99916883002237,111.87902975386837,,,,,,143.24381272250136,214.7472212021009,214.7472212021009,153.32948126470598,214.7472212021009,214.7472212021009,143.24381272250136,214.7472212021009,214.7472212021009,114.05412732728452,114.03455450360737,103.91698648480772,125.12073123918573,114.03455450360737,103.91698648480772
W kernel support bw0 [uv-pixels],0.5406548954868289,2.221279624249078,0.745140982357672,1.4955238591322022,0.6153742839918251,3.2733554054230094,0.8722593496981276,0.41701680184090323,0.4618164630901457,1.2050411915754282,0.6633524970864682,0.41701680184090323,0.4618164630901457,1.2050411915754282,0.6633524970864682,0.41701680184090323,0.4618164630901457,1.2050411915754282,2.28354959968209,2.1997479352717657,1.8349935864621254,4.084573941817304,1.9893378295367383,1.7738612720786149,1.0600986383817197,3.3730947481079983,2.2282413639974354,1.7234748532139526,1.4431764797512712,11.425964529200373,1.0974290252999361,0.7725307853779193,0.7571722941266632,1.6876958336362662,1.4803689991615927,1.2262109014669207,1.8196313574227414,1.3179442229458966,1.1477272189362158,1.5190197705239399,1.3304133135196472,1.262691031661952,1.5190197705239399,1.3304133135196472,1.1477272189362158,1.5190197705239399,1.3304133135196472,0.7868539714138874,0.7865894348708743,0.6425615203295473,0.9303898655958311,0.7865894348708743,0.6425615203295473
W kernel support bw1 [uv-pixels],0.9097593449964094,3.7408644288129,1.0103316465785206,2.028201085869449,0.8343458634080673,4.4409882488903625,1.4680450343841471,0.7016538098223439,0.7770564175771298,2.0284875580509714,1.1163098696023976,0.7016538098223439,0.7770564175771298,2.0284875580509714,1.1163098696023976,0.7016538098223439,0.7770564175771298,2.0284875580509714,3.0974804132232605,2.9837539011361645,2.4887903986834092,5.542411425545174,2.6982237218791902,2.40584200847538,1.4375175381143135,4.576393344283211,3.02242169537022,2.337475874120718,1.9571823889062967,15.520582835041425,1.4881541550537494,1.0474784794321845,1.0266487884982904,2.2889304295259003,2.0076406130395674,1.6628464183479914,2.4679457167604464,1.7872886242439072,1.5563822863820511,2.0600780529503204,1.8042041451732365,1.7123334744291947,2.0600780529503204,1.8042041451732365,1.5563822863820511,2.0600780529503204,1.8042041451732365,1.0669042076732007,1.0665454303745991,0.8712153441973449,1.2615817558801172,1.0665454303745991,0.8712153441973449
W kernel support bw2 [uv-pixels],1.5311909774106711,6.3035454930087536,1.2540080674835359,2.5178215366085275,1.0355396162168746,5.5148722679760915,2.4715271129361702,1.1807921319525485,1.307743576490919,3.415909859801908,1.8790380082165352,1.1807921319525485,1.307743576490919,3.415909859801908,1.8790380082165352,1.1807921319525485,1.307743576490919,3.415909859801908,3.8458307021944336,3.70457025255296,3.0898160628588105,6.883505032712752,3.349927552395199,2.986799653741158,1.7843676811969342,5.683111635827314,3.752599366919025,2.9018950162863186,2.429631146068074,19.293321354644668,1.8472385888565057,1.3001237399446817,1.2742647981505846,2.8416067793898705,2.492289554348586,2.064145199238097,3.063928152022114,2.218665314911715,1.9319527481408514,2.5574066045636474,2.2396697554660867,2.1255927322298143,2.5574066045636474,2.2396697554660867,1.9319527481408514,2.5574066045636474,2.2396697554660867,1.3242398965637814,1.3237944895073135,1.08130822979348,1.5659314768584602,1.3237944895073135,1.08130822979348
W kernel support bw3 [uv-pixels],2.577912498755105,10.630174745339474,1.7005545414074494,3.4154270377637244,1.4042050628729124,7.485016216423107,4.162723978767796,1.9876439242646486,2.201482272833584,5.755334752897994,3.164039824742404,1.9876439242646486,2.201482272833584,5.755334752897994,3.164039824742404,1.9876439242646486,2.201482272833584,5.755334752897994,5.218232091736976,5.026431466395519,4.1918284525149625,9.344559216979036,4.544941417873297,4.051987306283135,2.420097660796604,7.713565632370901,5.0916435179789055,3.9367358233051255,3.2957346557237037,26.23025025270278,2.505405471916936,1.763113585650134,1.7280340155350984,3.8549011802416713,3.3807745376335183,2.799736046948481,4.156686081470329,3.009426208460795,2.6203551031165646,3.469153270430119,3.0379310229838326,2.8831214387221373,3.469153270430119,3.0379310229838326,2.6203551031165646,3.469153270430119,3.0379310229838326,1.795829299603258,1.7952250621239787,1.4662870733002604,2.123724228664498,1.7952250621239787,1.4662870733002604
W kernel support bw4 [uv-pixels],5.842695255920037,17.946303606398036,2.496481621834252,5.016352011285364,2.061230462903399,11.002967168011416,7.015387062886702,3.3931289804716123,6.247242415976737,9.70415669147164,5.330491183521604,3.3931289804716123,6.247242415976737,9.70415669147164,5.330491183521604,3.3931289804716123,6.247242415976737,9.70415669147164,7.667344245157828,7.385221356977304,6.157815898920486,13.741069221496412,6.677074249560401,5.952196272412812,3.553553739743251,11.339415798937853,,,,,3.678902413304805,2.588371385496278,2.53684444225039,5.662423490576277,4.965414176355582,4.11141965792849,5.161644582223105,3.7364576769955016,3.847813539876216,5.09532891476284,4.461486761011056,4.233964259728249,5.09532891476284,4.461486761011056,3.847813539876216,5.09532891476284,4.461486761011056,2.636426994757622,2.635539432319634,2.152405094409684,3.118110370335363,2.635539432319634,2.152405094409684
W kernel support bw5 [uv-pixels],,,3.2152110599967214,6.463016574334786,2.6544453661436505,14.185977559291924,,,,,,,,,,,,,9.881812367191772,9.517891743139959,7.934852121283971,17.720932258771935,,,,,,,,,4.7389526380150935,3.333608422348519,3.267217030980006,7.296034977039095,6.397344436772639,5.296437104718398,,,4.956660225358097,6.564839851913872,5.747691623326463,5.4543991480559075,6.564839851913872,5.747691623326463,4.956660225358097,6.564839851913872,5.747691623326463,3.3955279454074483,3.394384315993287,2.771906242540151,4.016221079899876,3.394384315993287,2.771906242540151
